run_id,wafer_id,wiwnu_pct,thickness_range_nm,dishing_nm,erosion_pct,particle_count_ge_50nm,scratch_count,electrical_res_ohm,leakage_na,yield_flag
RUN-000049,W-RUN-000049,3.275,16.85,11.68,2.551,75,1,0.016562,5.96,1
RUN-000050,W-RUN-000050,3.15,18.25,18.51,3.263,50,0,0.01781,5.642,1
RUN-000051,W-RUN-000051,3.307,27.68,13.31,3.158,54,2,0.015599,4.89,1
RUN-000052,W-RUN-000052,3.225,21.79,18.2,3.748,58,3,0.016206,4.91,1
RUN-000053,W-RUN-000053,3.228,21.51,20.81,2.627,80,3,0.017312,5.113,0
RUN-000054,W-RUN-000054,3.162,22.68,22.02,3.387,65,1,0.016927,6.623,1
RUN-000055,W-RUN-000055,3.263,17.37,14.04,3.452,48,3,0.016758,4.491,1
RUN-000056,W-RUN-000056,3.29,22.5,18.29,2.756,58,1,0.015201,5.004,1
RUN-000057,W-RUN-000057,3.168,15.99,13.16,2.471,69,0,0.016012,4.536,1
RUN-000058,W-RUN-000058,3.204,23.39,14.41,2.596,77,1,0.0139,6.908,1
RUN-000059,W-RUN-000059,3.165,21.94,12.18,2.644,46,1,0.016207,6.12,1
RUN-000060,W-RUN-000060,3.206,21.07,3.93,2.166,48,1,0.016065,6.442,1
RUN-000061,W-RUN-000061,3.213,21.11,13.13,2.308,43,0,0.014525,4.661,1
RUN-000062,W-RUN-000062,3.242,23.14,21.35,3.434,60,4,0.017089,7.425,1
RUN-000063,W-RUN-000063,3.164,17.75,9.19,2.869,59,0,0.015973,3.737,1
RUN-000064,W-RUN-000064,3.183,17.42,18.92,3.918,42,2,0.016681,5.217,1
RUN-000065,W-RUN-000065,3.219,22.71,13.34,3.42,61,1,0.014365,4.836,1
RUN-000066,W-RUN-000066,3.348,22.7,14.33,2.374,43,3,0.016564,4.469,1
RUN-000067,W-RUN-000067,3.245,17.72,11.89,2.12,89,3,0.015551,4.881,0
RUN-000068,W-RUN-000068,3.285,23.2,12.98,2.901,47,2,0.01482,4.976,1
RUN-000069,W-RUN-000069,3.176,21.61,11.98,2.07,79,3,0.014311,6.515,1
RUN-000070,W-RUN-000070,3.276,20.77,13.5,1.127,44,4,0.016247,5.791,1
RUN-000071,W-RUN-000071,3.218,20.37,7.37,2.026,43,2,0.015878,2.445,1
RUN-000072,W-RUN-000072,3.162,25.07,18.5,2.791,55,0,0.016258,4.733,1
RUN-000073,W-RUN-000073,3.29,21.85,13.54,2.406,42,1,0.015945,3.915,1
RUN-000074,W-RUN-000074,3.216,20.77,5.67,1.946,40,2,0.016228,5.969,1
RUN-000075,W-RUN-000075,3.176,23.77,17.48,4.117,85,2,0.017254,4.303,0
RUN-000076,W-RUN-000076,3.254,19.61,9.42,2.838,31,0,0.015667,6.094,1
RUN-000077,W-RUN-000077,3.205,21.62,18.74,3.421,65,1,0.016277,3.871,1
RUN-000078,W-RUN-000078,3.305,22.32,24.53,3.357,56,0,0.017447,7.494,1
RUN-000079,W-RUN-000079,3.222,22.99,12.21,2.497,74,2,0.016171,3.118,1
RUN-000080,W-RUN-000080,3.286,18.47,15.91,2.096,55,2,0.01594,2.223,1
RUN-000081,W-RUN-000081,3.165,22.45,13.31,3.466,65,1,0.016252,5.983,1
RUN-000082,W-RUN-000082,3.266,22.35,19.18,3.813,45,1,0.017379,4.76,1
RUN-000083,W-RUN-000083,3.174,19.55,19.53,3.339,64,0,0.016025,7.764,1
RUN-000084,W-RUN-000084,3.295,18.63,6.95,2.288,43,1,0.016407,6.028,1
RUN-000085,W-RUN-000085,3.279,29.54,15.33,2.398,48,0,0.015429,6.176,1
RUN-000086,W-RUN-000086,3.24,21.18,6.34,2.576,58,3,0.015034,4.934,1
RUN-000087,W-RUN-000087,3.223,19.34,10.12,2.752,34,2,0.016059,6.067,1
RUN-000088,W-RUN-000088,3.243,16.7,9.1,2.752,80,1,0.016275,1.784,0
RUN-000089,W-RUN-000089,3.225,25.37,9.62,3.008,75,2,0.015936,4.04,1
RUN-000090,W-RUN-000090,3.153,17.93,15.86,1.884,57,2,0.015553,6.546,1
RUN-000091,W-RUN-000091,3.29,21.78,12.82,3.094,58,1,0.015766,3.574,1
RUN-000092,W-RUN-000092,3.176,23.64,17.35,3.942,50,1,0.015409,4.571,1
RUN-000093,W-RUN-000093,3.151,22.49,13.26,3.126,54,2,0.015874,5.065,1
RUN-000094,W-RUN-000094,3.172,24.85,11.8,2.216,34,0,0.015106,5.674,1
RUN-000095,W-RUN-000095,3.176,21.15,15.07,2.179,48,0,0.015231,6.64,1
RUN-000096,W-RUN-000096,3.191,20.32,10.35,3.25,54,0,0.016185,4.941,1
RUN-000097,W-RUN-000097,3.19,17.85,19.52,4.689,42,0,0.015848,4.879,1
RUN-000098,W-RUN-000098,3.228,19.96,16.15,3.865,48,2,0.015956,5.39,1
RUN-000099,W-RUN-000099,3.166,20.97,11.0,2.77,51,3,0.016169,5.72,1
RUN-000100,W-RUN-000100,3.261,20.78,15.01,3.461,53,1,0.014644,5.13,1
RUN-000101,W-RUN-000101,3.203,17.34,11.79,2.92,68,1,0.014287,4.345,1
RUN-000102,W-RUN-000102,3.144,24.13,11.51,2.784,63,1,0.016499,4.678,1
RUN-000103,W-RUN-000103,3.242,26.02,27.36,3.466,49,1,0.016951,5.863,0
RUN-000104,W-RUN-000104,3.225,20.22,9.71,3.068,49,2,0.016566,6.286,1
RUN-000105,W-RUN-000105,3.228,20.61,13.56,3.241,27,3,0.015361,5.729,1
RUN-000106,W-RUN-000106,3.202,19.11,18.2,4.088,82,3,0.018365,6.411,0
RUN-000107,W-RUN-000107,3.226,20.24,14.28,3.564,76,2,0.015281,3.414,1
RUN-000108,W-RUN-000108,3.188,20.44,18.37,3.862,57,0,0.015233,6.291,1
RUN-000109,W-RUN-000109,3.199,22.49,13.53,3.187,51,1,0.016628,6.233,1
RUN-000110,W-RUN-000110,3.226,20.34,19.84,4.353,35,0,0.015225,0.712,1
RUN-000111,W-RUN-000111,3.199,21.05,16.04,3.347,52,2,0.016465,6.495,1
RUN-000112,W-RUN-000112,3.218,18.39,15.13,2.623,54,4,0.014687,6.39,1
RUN-000113,W-RUN-000113,3.194,23.08,16.86,3.233,61,2,0.015681,4.7,1
RUN-000114,W-RUN-000114,3.278,26.84,13.11,1.537,55,3,0.016605,5.907,1
RUN-000115,W-RUN-000115,3.221,20.44,5.67,2.825,71,0,0.017045,4.773,1
RUN-000116,W-RUN-000116,3.19,19.54,17.55,2.248,56,1,0.015568,2.701,1
RUN-000117,W-RUN-000117,3.337,26.12,14.16,3.774,57,0,0.015491,5.293,1
RUN-000118,W-RUN-000118,3.272,22.35,11.68,3.116,59,0,0.015537,4.978,1
RUN-000119,W-RUN-000119,3.267,25.9,19.56,4.265,40,2,0.015468,7.327,1
RUN-000120,W-RUN-000120,3.159,20.99,13.39,3.21,55,3,0.016964,8.679,1
RUN-000121,W-RUN-000121,3.252,13.56,19.89,4.361,59,2,0.017527,6.174,1
RUN-000122,W-RUN-000122,3.204,25.07,9.93,2.204,53,1,0.016473,6.595,1
RUN-000123,W-RUN-000123,3.254,22.36,10.98,1.769,76,0,0.01585,6.868,1
RUN-000124,W-RUN-000124,3.21,21.57,5.85,3.516,73,2,0.016787,7.406,1
RUN-000125,W-RUN-000125,3.219,17.56,14.35,3.013,62,3,0.016634,4.72,1
RUN-000126,W-RUN-000126,3.173,19.52,10.92,2.197,52,5,0.016918,6.579,1
RUN-000127,W-RUN-000127,3.234,22.46,12.82,3.253,64,2,0.015654,3.242,1
RUN-000128,W-RUN-000128,3.213,22.65,10.19,3.241,40,2,0.015374,5.852,1
RUN-000129,W-RUN-000129,3.264,18.36,14.19,2.056,39,0,0.016031,5.807,1
RUN-000130,W-RUN-000130,3.224,21.84,11.01,2.426,57,0,0.015653,6.53,1
RUN-000131,W-RUN-000131,3.163,18.84,14.21,2.745,42,1,0.016686,4.459,1
RUN-000132,W-RUN-000132,3.24,25.3,15.73,3.826,78,3,0.015439,4.989,1
RUN-000133,W-RUN-000133,3.237,23.83,14.99,2.509,43,3,0.015738,6.345,1
RUN-000134,W-RUN-000134,3.2,19.29,13.63,2.37,79,1,0.015466,6.686,1
RUN-000135,W-RUN-000135,3.265,26.48,12.07,2.779,73,1,0.015178,5.59,1
RUN-000136,W-RUN-000136,3.256,22.6,17.77,3.221,38,1,0.015692,8.133,1
RUN-000137,W-RUN-000137,3.212,20.44,20.39,4.944,40,2,0.01584,5.741,1
RUN-000138,W-RUN-000138,3.229,18.97,17.59,4.099,53,1,0.016045,3.756,1
RUN-000139,W-RUN-000139,3.197,16.7,15.17,1.899,56,3,0.016798,1.939,1
RUN-000140,W-RUN-000140,3.168,26.02,13.3,2.278,43,3,0.015016,2.773,1
RUN-000141,W-RUN-000141,3.227,23.71,15.42,2.655,40,3,0.016793,5.109,1
RUN-000142,W-RUN-000142,3.238,19.33,18.12,3.045,62,0,0.016363,6.975,1
RUN-000143,W-RUN-000143,3.175,14.56,15.53,3.058,60,0,0.01644,4.764,1
RUN-000144,W-RUN-000144,3.202,17.31,9.94,3.11,45,0,0.015307,5.537,1
RUN-000145,W-RUN-000145,3.25,21.46,13.97,2.309,53,1,0.015406,5.464,1
RUN-000146,W-RUN-000146,3.216,17.37,12.69,2.315,36,1,0.015178,4.434,1
RUN-000147,W-RUN-000147,3.286,19.56,12.42,2.517,65,1,0.015665,3.445,1
RUN-000148,W-RUN-000148,3.286,16.57,18.1,2.367,49,2,0.015113,3.289,1
RUN-000149,W-RUN-000149,3.183,25.7,12.16,3.73,56,2,0.014624,6.644,1
RUN-000150,W-RUN-000150,3.268,20.48,14.68,3.087,33,2,0.015478,5.646,1
RUN-000151,W-RUN-000151,3.251,18.7,16.5,4.136,67,2,0.017002,4.501,1
RUN-000152,W-RUN-000152,3.164,16.97,16.6,2.492,38,2,0.015373,6.339,1
RUN-000153,W-RUN-000153,3.285,19.09,12.26,2.18,52,0,0.015954,4.12,1
RUN-000154,W-RUN-000154,3.193,20.8,17.06,3.311,58,0,0.017086,7.038,1
RUN-000155,W-RUN-000155,3.265,20.3,12.28,1.476,50,3,0.016101,2.704,1
RUN-000156,W-RUN-000156,3.176,18.06,7.43,2.731,50,2,0.016504,5.482,1
RUN-000157,W-RUN-000157,3.248,15.2,9.38,1.882,55,2,0.015502,6.073,1
RUN-000158,W-RUN-000158,3.195,21.12,15.16,3.226,76,0,0.016516,6.448,1
RUN-000159,W-RUN-000159,3.292,26.93,10.98,2.745,71,2,0.015136,2.904,1
RUN-000160,W-RUN-000160,3.206,18.16,15.26,2.696,49,0,0.013734,6.518,1
RUN-000161,W-RUN-000161,3.266,22.75,13.04,2.871,48,2,0.015231,5.466,1
RUN-000162,W-RUN-000162,3.306,18.3,9.2,2.562,50,3,0.016197,6.047,1
RUN-000163,W-RUN-000163,3.189,20.55,11.46,2.7,63,2,0.016661,4.599,1
RUN-000164,W-RUN-000164,3.287,24.9,10.32,1.395,67,2,0.015518,5.82,1
RUN-000165,W-RUN-000165,3.259,26.6,11.44,2.247,51,2,0.014856,6.223,1
RUN-000166,W-RUN-000166,3.162,14.08,14.17,1.464,62,1,0.01596,6.326,1
RUN-000167,W-RUN-000167,3.261,20.67,14.24,3.311,51,1,0.014995,4.347,1
RUN-000168,W-RUN-000168,3.192,24.2,15.59,1.965,47,1,0.014431,6.617,1
RUN-000169,W-RUN-000169,3.242,22.21,18.1,2.82,52,0,0.018454,2.093,1
RUN-000170,W-RUN-000170,3.156,15.71,13.68,3.37,39,2,0.016064,5.19,1
RUN-000171,W-RUN-000171,3.217,25.73,15.92,3.655,70,0,0.017075,6.298,1
RUN-000172,W-RUN-000172,3.186,19.31,17.58,3.705,77,2,0.015714,6.466,1
RUN-000173,W-RUN-000173,3.245,20.98,7.22,2.288,41,3,0.014802,4.52,1
RUN-000174,W-RUN-000174,3.187,21.25,14.38,3.3,59,1,0.016374,3.758,1
RUN-000175,W-RUN-000175,3.212,18.07,11.39,1.358,59,1,0.015834,5.011,1
RUN-000176,W-RUN-000176,3.16,22.35,18.02,4.404,65,2,0.017522,8.229,1
RUN-000177,W-RUN-000177,3.232,21.56,12.2,2.648,44,2,0.014061,5.346,1
RUN-000178,W-RUN-000178,3.225,22.77,7.1,1.383,42,0,0.014689,5.612,1
RUN-000179,W-RUN-000179,3.249,23.48,19.62,2.756,62,1,0.01638,4.364,1
RUN-000180,W-RUN-000180,3.238,23.06,9.41,1.72,42,2,0.015172,4.221,1
RUN-000181,W-RUN-000181,3.228,21.18,10.57,3.641,53,0,0.015669,5.465,1
RUN-000182,W-RUN-000182,3.256,19.02,12.11,1.891,68,5,0.015505,4.57,1
RUN-000183,W-RUN-000183,3.225,22.93,11.97,2.05,53,1,0.015789,6.99,1
RUN-000184,W-RUN-000184,3.241,16.05,10.76,2.163,60,0,0.017458,5.842,1
RUN-000185,W-RUN-000185,3.235,25.18,12.86,3.494,34,1,0.017305,7.18,1
RUN-000186,W-RUN-000186,3.177,20.22,17.16,3.615,55,2,0.015522,4.003,1
RUN-000187,W-RUN-000187,3.199,18.64,10.93,2.365,87,1,0.015789,5.81,0
RUN-000188,W-RUN-000188,3.16,20.65,9.76,1.995,60,1,0.016321,3.846,1
RUN-000189,W-RUN-000189,3.201,18.94,12.22,2.927,64,2,0.014604,5.246,1
RUN-000190,W-RUN-000190,3.192,19.89,12.37,3.721,68,2,0.016146,4.918,1
RUN-000191,W-RUN-000191,3.163,19.34,14.24,2.732,47,0,0.018041,3.838,1
RUN-000192,W-RUN-000192,3.289,25.65,16.53,3.091,50,0,0.016152,5.229,1
RUN-000193,W-RUN-000193,3.227,22.77,10.43,2.71,68,0,0.016918,5.639,1
RUN-000194,W-RUN-000194,3.205,19.49,23.87,4.404,54,1,0.016109,4.216,1
RUN-000195,W-RUN-000195,3.195,9.94,7.8,3.279,58,1,0.016504,5.683,1
RUN-000196,W-RUN-000196,3.208,23.46,20.08,3.515,54,2,0.016579,5.712,1
RUN-000197,W-RUN-000197,3.219,19.81,16.36,3.358,56,2,0.016702,7.323,1
RUN-000198,W-RUN-000198,3.156,21.25,9.74,4.284,69,0,0.015434,4.895,1
RUN-000199,W-RUN-000199,3.174,19.87,16.82,2.718,41,5,0.01747,7.152,1
RUN-000200,W-RUN-000200,3.141,17.63,12.66,2.911,61,0,0.015499,4.61,1
RUN-000201,W-RUN-000201,3.218,18.66,19.77,2.74,54,0,0.016048,6.983,1
RUN-000202,W-RUN-000202,3.203,21.47,11.98,2.961,51,2,0.015748,2.214,1
RUN-000203,W-RUN-000203,3.255,22.96,13.03,1.372,38,1,0.015299,7.075,1
RUN-000204,W-RUN-000204,3.225,21.53,16.3,2.856,46,0,0.01486,3.253,1
RUN-000205,W-RUN-000205,3.208,20.08,14.29,2.387,29,1,0.017721,2.484,1
RUN-000206,W-RUN-000206,3.222,17.75,9.26,1.656,42,3,0.014796,6.343,1
RUN-000207,W-RUN-000207,3.2,21.81,19.25,4.104,61,2,0.017338,5.25,1
RUN-000208,W-RUN-000208,3.204,20.38,13.11,2.314,60,4,0.016359,7.796,1
RUN-000209,W-RUN-000209,3.209,32.17,13.68,3.69,60,4,0.017531,7.295,1
RUN-000210,W-RUN-000210,3.236,18.95,11.02,2.811,42,1,0.016689,8.349,1
RUN-000211,W-RUN-000211,3.269,16.03,20.76,2.968,42,3,0.017909,4.177,1
RUN-000212,W-RUN-000212,3.16,15.28,17.32,3.463,51,2,0.017401,4.616,1
RUN-000213,W-RUN-000213,3.279,21.53,15.16,2.402,28,0,0.015118,6.423,1
RUN-000214,W-RUN-000214,3.212,21.2,20.33,3.707,50,0,0.018658,5.946,1
RUN-000215,W-RUN-000215,3.283,15.91,15.42,4.866,66,1,0.016291,4.026,1
RUN-000216,W-RUN-000216,3.258,26.04,16.29,2.493,64,3,0.016475,5.141,1
RUN-000217,W-RUN-000217,3.23,20.81,11.09,2.579,40,3,0.016118,4.177,1
RUN-000218,W-RUN-000218,3.207,19.53,18.25,3.976,33,2,0.016282,4.646,1
RUN-000219,W-RUN-000219,3.146,20.92,13.62,2.66,59,2,0.015291,5.915,1
RUN-000220,W-RUN-000220,3.17,12.65,19.28,3.659,65,2,0.016423,3.556,1
RUN-000221,W-RUN-000221,3.222,23.92,13.59,2.446,59,1,0.014901,6.544,1
RUN-000222,W-RUN-000222,3.243,17.96,18.09,2.126,59,5,0.016797,4.124,1
RUN-000223,W-RUN-000223,3.193,20.9,14.64,2.803,71,2,0.014563,4.904,1
RUN-000224,W-RUN-000224,3.224,17.7,9.11,2.018,75,2,0.015919,7.764,1
RUN-000225,W-RUN-000225,3.257,20.67,22.49,3.432,77,1,0.014397,3.44,1
RUN-000226,W-RUN-000226,3.192,20.99,15.64,3.066,62,3,0.016093,3.886,1
RUN-000227,W-RUN-000227,3.27,19.64,15.14,2.403,48,1,0.01662,4.233,1
RUN-000228,W-RUN-000228,3.176,22.32,11.5,2.578,44,1,0.015905,4.847,1
RUN-000229,W-RUN-000229,3.223,19.13,13.07,2.27,54,1,0.014795,7.694,1
RUN-000230,W-RUN-000230,3.209,17.12,16.17,3.165,57,0,0.015635,4.199,1
RUN-000231,W-RUN-000231,3.236,17.35,12.76,2.39,62,3,0.016564,4.728,1
RUN-000232,W-RUN-000232,3.219,18.66,18.42,2.8,47,1,0.016116,4.563,1
RUN-000233,W-RUN-000233,3.21,21.81,8.21,2.102,38,1,0.015306,4.136,1
RUN-000234,W-RUN-000234,3.182,21.33,9.85,2.863,46,4,0.015375,4.209,1
RUN-000235,W-RUN-000235,3.161,22.81,14.51,1.7,60,3,0.016138,5.563,1
RUN-000236,W-RUN-000236,3.158,22.29,12.84,3.054,60,1,0.016752,4.332,1
RUN-000237,W-RUN-000237,3.149,18.79,15.05,3.082,65,2,0.016935,7.267,1
RUN-000238,W-RUN-000238,3.161,16.02,12.96,2.529,77,1,0.016241,3.102,1
RUN-000239,W-RUN-000239,3.132,19.91,6.94,1.183,81,1,0.016098,4.001,0
RUN-000240,W-RUN-000240,3.304,21.07,16.73,2.301,47,3,0.014849,7.759,1
RUN-000241,W-RUN-000241,3.223,14.24,17.93,2.965,68,1,0.015859,6.731,1
RUN-000242,W-RUN-000242,3.229,17.21,15.8,2.979,68,0,0.015101,6.729,1
RUN-000243,W-RUN-000243,3.266,17.4,16.95,3.424,66,2,0.015472,5.03,1
RUN-000244,W-RUN-000244,3.195,17.7,17.3,3.347,69,1,0.016404,6.032,1
RUN-000245,W-RUN-000245,3.2,19.1,11.85,2.318,38,3,0.015441,8.087,1
RUN-000246,W-RUN-000246,3.263,17.41,7.73,1.911,56,3,0.015269,4.496,1
RUN-000247,W-RUN-000247,3.224,26.85,16.65,2.435,59,3,0.015742,5.916,1
RUN-000248,W-RUN-000248,3.278,17.25,10.94,2.97,62,2,0.015672,6.821,1
RUN-000249,W-RUN-000249,3.206,16.83,23.11,3.557,49,3,0.015493,4.621,1
RUN-000250,W-RUN-000250,3.243,18.58,16.77,4.472,55,1,0.017686,4.15,1
RUN-000251,W-RUN-000251,3.289,21.26,8.9,1.811,49,1,0.016689,3.81,1
RUN-000252,W-RUN-000252,3.285,19.99,10.49,2.125,53,5,0.015387,7.846,1
RUN-000253,W-RUN-000253,3.256,20.51,7.05,1.867,39,3,0.015924,7.209,1
RUN-000254,W-RUN-000254,3.272,22.89,17.2,3.195,46,6,0.016302,4.692,1
RUN-000255,W-RUN-000255,3.18,16.24,21.97,3.57,58,2,0.017042,5.933,1
RUN-000256,W-RUN-000256,3.146,25.02,12.01,2.664,50,0,0.015387,4.726,1
RUN-000257,W-RUN-000257,3.171,22.58,13.82,2.762,44,1,0.016476,3.128,1
RUN-000258,W-RUN-000258,3.155,23.44,17.25,2.002,72,1,0.016564,5.026,1
RUN-000259,W-RUN-000259,3.228,22.56,9.4,2.457,45,3,0.015451,7.996,1
RUN-000260,W-RUN-000260,3.287,19.74,15.82,2.1,62,1,0.015163,5.537,1
RUN-000261,W-RUN-000261,3.248,22.77,6.29,1.73,45,0,0.0164,3.303,1
RUN-000262,W-RUN-000262,3.184,21.95,12.66,2.863,55,3,0.015859,4.591,1
RUN-000263,W-RUN-000263,3.246,19.86,20.65,2.742,53,0,0.01604,3.439,1
RUN-000264,W-RUN-000264,3.236,21.21,11.52,2.876,60,2,0.014457,6.049,1
RUN-000265,W-RUN-000265,3.17,26.15,16.9,3.998,30,5,0.01761,4.911,1
RUN-000266,W-RUN-000266,3.167,21.71,14.05,2.283,55,0,0.016974,6.393,1
RUN-000267,W-RUN-000267,3.198,21.97,17.39,2.306,46,0,0.015908,6.98,1
RUN-000268,W-RUN-000268,3.263,20.02,16.09,3.145,78,1,0.017002,5.447,1
RUN-000269,W-RUN-000269,3.19,18.75,14.04,3.0,73,2,0.014865,6.951,1
RUN-000270,W-RUN-000270,3.247,22.48,15.7,3.686,74,3,0.016558,5.89,1
RUN-000271,W-RUN-000271,3.276,18.79,16.92,2.83,54,1,0.015889,4.194,1
RUN-000272,W-RUN-000272,3.194,20.69,11.99,1.591,49,1,0.015463,4.295,1
RUN-000273,W-RUN-000273,3.201,24.43,19.27,4.054,57,1,0.015715,4.313,1
RUN-000274,W-RUN-000274,3.156,12.84,15.86,3.261,43,1,0.015825,4.962,1
RUN-000275,W-RUN-000275,3.2,23.34,14.4,2.992,54,1,0.014227,6.767,1
RUN-000276,W-RUN-000276,3.223,21.57,10.35,2.427,66,0,0.015513,6.534,1
RUN-000277,W-RUN-000277,3.151,16.6,12.24,3.35,43,0,0.01702,7.116,1
RUN-000278,W-RUN-000278,3.217,18.88,13.85,2.378,40,1,0.014972,3.335,1
RUN-000279,W-RUN-000279,3.27,29.5,17.36,1.567,58,1,0.015595,4.748,1
RUN-000280,W-RUN-000280,3.213,19.41,20.51,3.719,47,0,0.01746,5.386,1
RUN-000281,W-RUN-000281,3.202,19.58,11.78,2.804,47,0,0.016436,6.761,1
RUN-000282,W-RUN-000282,3.171,24.36,16.59,2.474,65,2,0.016804,7.558,1
RUN-000283,W-RUN-000283,3.182,17.81,9.77,3.379,49,2,0.016745,6.281,1
RUN-000284,W-RUN-000284,3.321,23.47,17.88,4.4,77,2,0.016471,7.576,1
RUN-000285,W-RUN-000285,3.29,22.45,14.88,3.564,26,1,0.015202,5.75,1
RUN-000286,W-RUN-000286,3.254,20.64,18.73,3.394,58,1,0.017305,5.204,1
RUN-000287,W-RUN-000287,3.196,22.47,9.71,2.503,78,4,0.015912,4.771,1
RUN-000288,W-RUN-000288,3.223,19.5,19.02,3.047,64,0,0.015304,2.348,1
RUN-000289,W-RUN-000289,3.161,19.46,11.24,2.408,67,1,0.016461,5.917,1
RUN-000290,W-RUN-000290,3.201,22.15,18.26,2.708,46,1,0.016197,3.575,1
RUN-000291,W-RUN-000291,3.233,19.04,12.11,2.826,44,1,0.016431,3.31,1
RUN-000292,W-RUN-000292,3.225,17.19,14.64,3.157,57,4,0.015868,7.63,1
RUN-000293,W-RUN-000293,3.203,20.69,15.62,1.893,37,1,0.01602,2.742,1
