run_id,split_hint,fab_id,tool_id,recipe_id,product_id,layer_id,process_type,wafer_id,lot_id,slurry_lot,run_start_ts,run_end_ts,pad_type,conditioner_type,slurry_type,slurry_pH,particle_size_nm,oxidizer_pct,pad_age_wafers,disk_age_wafers,pre_thickness_nm,target_post_thk_nm,target_mrr_nmps,mrr_pred_nmps,mrr_err_abs,mrr_err_pct,mrr_err_ewma,drift_flag_mrr,auto_retrain,model_ref_pad_factor,model_ref_lot_pH,last_retrain_ts
RUN-000010,train,H-FAB,CMP-01,RCP-C,P111,STI,STI_Oxide,W-RUN-000010,LOT-0701,LOT-S4330,2025-07-01T09:57:00,2025-07-01T09:58:09,IC1000,3M-Std,Oxide-alkaline,10.018,61.0,0.202,72,79,1042.7,800,3.7611,3.924,0.1628,4.329,44.168,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000011,train,H-FAB,CMP-01,RCP-B,P119,M1,Cu,W-RUN-000011,LOT-0701,LOT-S4330,2025-07-01T10:07:09,2025-07-01T10:08:15,IC1000,3M-Std,Cu-acidic,3.455,121.9,1.894,73,80,935.7,300,15.6653,3.0,12.6653,80.849,51.504,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000012,train,H-FAB,CMP-01,RCP-B,P113,STI,STI_Oxide,W-RUN-000012,LOT-0701,LOT-S4330,2025-07-01T10:18:15,2025-07-01T10:19:33,IC1000,3M-Std,Oxide-alkaline,10.207,76.2,0.204,74,81,1076.6,800,6.6572,6.5399,0.1173,1.761,41.556,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000013,train,H-FAB,CMP-01,RCP-C,P148,STI,STI_Oxide,W-RUN-000013,LOT-0701,LOT-S4330,2025-07-01T10:29:33,2025-07-01T10:30:38,IC1000,3M-Std,Oxide-alkaline,10.132,66.3,0.177,75,82,1028.9,800,6.4984,6.5399,0.0415,0.639,33.372,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000014,train,H-FAB,CMP-01,RCP-C,P102,M1,Cu,W-RUN-000014,LOT-0701,LOT-S4330,2025-07-01T10:38:38,2025-07-01T10:39:54,IC1000,3M-Std,Cu-acidic,3.186,114.2,1.831,76,83,921.6,300,12.1575,3.0,9.1575,75.324,41.763,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000015,train,H-FAB,CMP-01,RCP-B,P125,M1,Cu,W-RUN-000015,LOT-0701,LOT-S4330,2025-07-01T10:48:54,2025-07-01T10:50:01,IC1000,3M-Std,Cu-acidic,3.341,117.2,2.309,77,84,942.8,300,15.884,3.0,12.884,81.113,49.633,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000016,train,H-FAB,CMP-01,RCP-B,P134,M1,Cu,W-RUN-000016,LOT-0701,LOT-S4330,2025-07-01T11:02:01,2025-07-01T11:03:18,IC1000,3M-Std,Cu-acidic,3.012,118.1,1.891,78,85,964.4,300,20.0,3.0,17.0,85.0,56.706,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000017,train,H-FAB,CMP-01,RCP-B,P115,STI,STI_Oxide,W-RUN-000017,LOT-0701,LOT-S4330,2025-07-01T11:13:18,2025-07-01T11:14:24,IC1000,3M-Std,Oxide-alkaline,10.538,73.2,0.25,79,86,1069.0,800,4.3999,3.924,0.4759,10.816,47.528,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000018,train,H-FAB,CMP-01,RCP-A,P111,M1,Cu,W-RUN-000018,LOT-0701,LOT-S4330,2025-07-01T11:24:24,2025-07-01T11:25:38,IC1000,3M-Std,Cu-acidic,3.601,135.5,1.968,80,87,931.2,300,9.1982,3.0,6.1982,67.385,51.5,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000019,train,H-FAB,CMP-01,RCP-C,P120,M1,Cu,W-RUN-000019,LOT-0701,LOT-S4330,2025-07-01T11:33:38,2025-07-01T11:34:56,IC1000,3M-Std,Cu-acidic,3.365,107.0,2.081,81,88,939.5,300,15.8157,3.0,12.8157,81.032,57.406,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000020,train,H-FAB,CMP-01,RCP-B,P109,M1,Cu,W-RUN-000020,LOT-0701,LOT-S4330,2025-07-01T11:42:56,2025-07-01T11:44:12,IC1000,3M-Std,Cu-acidic,3.002,123.0,1.964,82,89,969.5,300,9.9377,3.0,6.9377,69.812,59.887,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000021,train,H-FAB,CMP-01,RCP-C,P129,M1,Cu,W-RUN-000021,LOT-0701,LOT-S4330,2025-07-01T11:53:12,2025-07-01T11:54:20,IC1000,3M-Std,Cu-acidic,3.19,99.5,1.891,83,90,977.6,300,20.0,3.0,17.0,85.0,64.91,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000022,train,H-FAB,CMP-01,RCP-A,P117,STI,STI_Oxide,W-RUN-000022,LOT-0701,LOT-S4330,2025-07-01T12:02:20,2025-07-01T12:03:39,IC1000,3M-Std,Oxide-alkaline,9.988,71.1,0.198,84,91,1069.0,800,7.7304,8.1749,0.4446,5.751,53.078,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000023,train,H-FAB,CMP-01,RCP-A,P138,STI,STI_Oxide,W-RUN-000023,LOT-0701,LOT-S4330,2025-07-01T12:10:39,2025-07-01T12:11:55,IC1000,3M-Std,Oxide-alkaline,9.995,80.5,0.262,85,92,1048.3,800,4.9578,5.2319,0.2741,5.529,43.568,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000024,train,H-FAB,CMP-01,RCP-C,P149,M1,Cu,W-RUN-000024,LOT-0701,LOT-S4330,2025-07-01T12:23:55,2025-07-01T12:25:05,IC1000,3M-Std,Cu-acidic,3.243,111.1,1.815,86,93,908.5,300,12.8359,3.0,9.8359,76.628,50.18,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000025,train,H-FAB,CMP-01,RCP-C,P129,STI,STI_Oxide,W-RUN-000025,LOT-0701,LOT-S4330,2025-07-01T12:34:05,2025-07-01T12:35:21,IC1000,3M-Std,Oxide-alkaline,10.234,65.9,0.302,87,94,1036.1,800,4.0123,3.924,0.0883,2.202,40.585,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000026,train,H-FAB,CMP-01,RCP-C,P113,STI,STI_Oxide,W-RUN-000026,LOT-0701,LOT-S4330,2025-07-01T12:45:21,2025-07-01T12:46:34,IC1000,3M-Std,Oxide-alkaline,10.434,67.4,0.227,88,95,1059.5,800,5.3236,4.9049,0.4187,7.864,34.04,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000027,train,H-FAB,CMP-01,RCP-B,P138,M1,Cu,W-RUN-000027,LOT-0701,LOT-S4330,2025-07-01T12:54:34,2025-07-01T12:55:48,IC1000,3M-Std,Cu-acidic,3.038,135.5,2.18,89,96,948.0,300,12.3414,3.0,9.3414,75.692,42.371,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000028,train,H-FAB,CMP-01,RCP-C,P101,STI,STI_Oxide,W-RUN-000028,LOT-0701,LOT-S4330,2025-07-01T13:07:48,2025-07-01T13:09:04,IC1000,3M-Std,Oxide-alkaline,10.468,72.6,0.194,90,97,1043.7,800,5.3741,4.9049,0.4692,8.73,35.643,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000029,train,H-FAB,CMP-01,RCP-B,P101,M1,Cu,W-RUN-000029,LOT-0701,LOT-S4330,2025-07-01T13:16:04,2025-07-01T13:17:29,IC1000,3M-Std,Cu-acidic,3.385,124.3,1.765,91,98,977.2,300,9.4373,3.0,6.4373,68.211,42.156,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000030,train,H-FAB,CMP-01,RCP-A,P123,M1,Cu,W-RUN-000030,LOT-0701,LOT-S4330,2025-07-01T13:27:29,2025-07-01T13:28:47,IC1000,3M-Std,Cu-acidic,3.094,110.8,1.794,92,99,957.7,300,16.3249,3.0,13.3249,81.623,50.05,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000031,train,H-FAB,CMP-01,RCP-B,P130,STI,STI_Oxide,W-RUN-000031,LOT-0701,LOT-S4330,2025-07-01T13:37:47,2025-07-01T13:39:02,IC1000,3M-Std,Oxide-alkaline,9.95,92.6,0.211,93,100,1016.5,800,6.0899,6.5399,0.45,7.39,41.518,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000032,train,H-FAB,CMP-01,RCP-C,P103,STI,STI_Oxide,W-RUN-000032,LOT-0701,LOT-S4330,2025-07-01T13:47:02,2025-07-01T13:48:19,IC1000,3M-Std,Oxide-alkaline,10.537,65.8,0.234,94,101,1007.9,800,5.4735,4.9049,0.5686,10.388,35.292,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000033,train,H-FAB,CMP-01,RCP-C,P137,STI,STI_Oxide,W-RUN-000033,LOT-0701,LOT-S4330,2025-07-01T13:59:19,2025-07-01T14:00:36,IC1000,3M-Std,Oxide-alkaline,10.682,63.5,0.22,95,102,1058.4,800,4.557,3.924,0.6331,13.892,31.012,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000034,train,H-FAB,CMP-01,RCP-C,P140,M1,Cu,W-RUN-000034,LOT-0701,LOT-S4330,2025-07-01T14:10:36,2025-07-01T14:11:43,IC1000,3M-Std,Cu-acidic,3.091,115.6,1.62,96,103,928.9,300,20.0,3.0,17.0,85.0,41.809,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000035,train,H-FAB,CMP-01,RCP-B,P114,M1,Cu,W-RUN-000035,LOT-0701,LOT-S4330,2025-07-01T14:17:43,2025-07-01T14:18:59,IC1000,3M-Std,Cu-acidic,3.068,112.1,1.94,97,104,942.6,300,16.3537,3.0,13.3537,81.655,49.779,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000036,train,H-FAB,CMP-01,RCP-B,P129,STI,STI_Oxide,W-RUN-000036,LOT-0701,LOT-S4330,2025-07-01T14:29:59,2025-07-01T14:31:38,IC1000,3M-Std,Oxide-alkaline,9.972,82.5,0.277,98,105,1076.0,800,3.0,3.0,0.0,0.0,39.823,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000037,train,H-FAB,CMP-01,RCP-B,P104,STI,STI_Oxide,W-RUN-000037,LOT-0701,LOT-S4330,2025-07-01T14:44:38,2025-07-01T14:45:47,IC1000,3M-Std,Oxide-alkaline,10.223,64.0,0.218,99,106,1060.7,800,8.3028,8.1749,0.1279,1.541,32.167,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000038,train,H-FAB,CMP-01,RCP-A,P134,STI,STI_Oxide,W-RUN-000038,LOT-0701,LOT-S4330,2025-07-01T14:55:47,2025-07-01T14:57:06,IC1000,3M-Std,Oxide-alkaline,10.276,76.5,0.195,100,107,1074.1,800,5.3991,5.2319,0.1671,3.096,26.352,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000039,train,H-FAB,CMP-01,RCP-B,P104,M1,Cu,W-RUN-000039,LOT-0701,LOT-S4330,2025-07-01T15:05:06,2025-07-01T15:06:18,IC1000,3M-Std,Cu-acidic,3.398,131.3,2.0,101,108,898.1,300,12.5244,3.0,9.5244,76.047,36.291,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000040,train,H-FAB,CMP-01,RCP-A,P123,STI,STI_Oxide,W-RUN-000040,LOT-0701,LOT-S4330,2025-07-01T15:16:18,2025-07-01T15:17:42,IC1000,3M-Std,Oxide-alkaline,10.382,68.5,0.244,102,109,1027.8,800,3.1334,3.0,0.1334,4.258,29.885,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000041,train,H-FAB,CMP-01,RCP-A,P109,STI,STI_Oxide,W-RUN-000041,LOT-0701,LOT-S4330,2025-07-01T15:26:42,2025-07-01T15:28:01,IC1000,3M-Std,Oxide-alkaline,10.217,66.9,0.135,103,110,1063.3,800,3.9721,3.924,0.0482,1.213,24.15,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000042,train,H-FAB,CMP-01,RCP-C,P149,M1,Cu,W-RUN-000042,LOT-0701,LOT-S4330,2025-07-01T15:36:01,2025-07-01T15:37:18,IC1000,3M-Std,Cu-acidic,3.318,124.9,1.868,104,111,970.0,300,9.4843,3.0,6.4843,68.369,32.994,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000043,train,H-FAB,CMP-01,RCP-B,P131,STI,STI_Oxide,W-RUN-000043,LOT-0701,LOT-S4330,2025-07-01T15:49:18,2025-07-01T15:51:05,IC1000,3M-Std,Oxide-alkaline,10.398,72.3,0.138,105,112,1099.5,800,3.1453,3.0,0.1453,4.619,27.319,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000044,train,H-FAB,CMP-01,RCP-C,P107,M1,Cu,W-RUN-000044,LOT-0701,LOT-S4330,2025-07-01T16:03:05,2025-07-01T16:04:15,IC1000,3M-Std,Cu-acidic,3.33,121.2,2.156,106,113,924.5,300,9.4631,3.0,6.4631,68.298,35.515,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000045,train,H-FAB,CMP-01,RCP-A,P134,M1,Cu,W-RUN-000045,LOT-0701,LOT-S4330,2025-07-01T16:10:15,2025-07-01T16:11:28,IC1000,3M-Std,Cu-acidic,3.25,98.0,1.854,107,114,939.0,300,15.9314,3.0,12.9314,81.169,44.646,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000046,train,H-FAB,CMP-01,RCP-A,P143,STI,STI_Oxide,W-RUN-000046,LOT-0701,LOT-S4330,2025-07-01T16:23:28,2025-07-01T16:24:52,IC1000,3M-Std,Oxide-alkaline,10.251,85.4,0.13,108,115,1064.8,800,4.0086,3.924,0.0847,2.112,36.139,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000047,train,H-FAB,CMP-01,RCP-B,P145,STI,STI_Oxide,W-RUN-000047,LOT-0701,LOT-S4330,2025-07-01T16:31:52,2025-07-01T16:33:00,IC1000,3M-Std,Oxide-alkaline,10.245,63.6,0.168,109,116,1066.3,800,4.9998,4.9049,0.0948,1.896,29.29,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000048,train,H-FAB,CMP-01,RCP-B,P111,STI,STI_Oxide,W-RUN-000048,LOT-0701,LOT-S4330,2025-07-01T16:49:00,2025-07-01T16:50:35,IC1000,3M-Std,Oxide-alkaline,10.334,84.9,0.11,110,117,1077.1,800,3.0812,3.0,0.0812,2.637,23.96,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000049,train,H-FAB,CMP-01,RCP-B,P133,M1,Cu,W-RUN-000049,LOT-0701,LOT-S4330,2025-07-01T16:59:35,2025-07-01T17:00:45,IC1000,3M-Std,Cu-acidic,3.471,121.5,1.815,111,118,994.7,300,12.3688,3.0,9.3688,75.745,34.317,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000050,train,H-FAB,CMP-01,RCP-B,P108,M1,Cu,W-RUN-000050,LOT-0701,LOT-S4330,2025-07-01T17:08:45,2025-07-01T17:10:04,IC1000,3M-Std,Cu-acidic,3.428,120.0,2.027,112,119,969.7,300,19.4306,3.0,16.4306,84.56,44.366,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000051,train,H-FAB,CMP-01,RCP-B,P112,STI,STI_Oxide,W-RUN-000051,LOT-0701,LOT-S4330,2025-07-01T17:19:04,2025-07-01T17:20:09,IC1000,3M-Std,Oxide-alkaline,10.399,73.1,0.191,113,120,1108.8,800,6.9762,6.5399,0.4363,6.254,36.743,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000052,train,H-FAB,CMP-01,RCP-A,P142,STI,STI_Oxide,W-RUN-000052,LOT-0701,LOT-S4330,2025-07-01T17:30:09,2025-07-01T17:31:25,IC1000,3M-Std,Oxide-alkaline,10.093,80.8,0.206,114,121,1076.3,800,6.3453,6.5399,0.1946,3.067,30.008,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000053,train,H-FAB,CMP-01,RCP-C,P104,M1,Cu,W-RUN-000053,LOT-0701,LOT-S4330,2025-07-01T17:41:25,2025-07-01T17:42:51,IC1000,3M-Std,Cu-acidic,3.252,123.9,2.216,115,122,939.3,300,9.5351,3.0,6.5351,68.537,37.714,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000054,train,H-FAB,CMP-01,RCP-B,P112,M1,Cu,W-RUN-000054,LOT-0701,LOT-S4330,2025-07-01T17:54:51,2025-07-01T17:56:19,IC1000,3M-Std,Cu-acidic,3.454,140.9,1.768,116,123,974.5,300,9.2839,3.0,6.2839,67.686,43.708,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000055,train,H-FAB,CMP-01,RCP-C,P110,STI,STI_Oxide,W-RUN-000055,LOT-0701,LOT-S4330,2025-07-01T18:05:19,2025-07-01T18:06:43,IC1000,3M-Std,Oxide-alkaline,10.169,72.5,0.137,117,124,1072.5,800,3.898,3.924,0.0259,0.666,35.1,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000056,train,H-FAB,CMP-01,RCP-B,P144,STI,STI_Oxide,W-RUN-000056,LOT-0701,LOT-S4330,2025-07-01T18:16:43,2025-07-01T18:17:50,IC1000,3M-Std,Oxide-alkaline,10.466,68.9,0.238,118,125,1044.5,800,5.6818,5.2319,0.4499,7.918,29.663,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000057,train,H-FAB,CMP-01,RCP-A,P109,M1,Cu,W-RUN-000057,LOT-0701,LOT-S4330,2025-07-01T18:30:50,2025-07-01T18:31:59,IC1000,3M-Std,Cu-acidic,3.367,106.5,1.908,119,126,930.0,300,15.6377,3.0,12.6377,80.816,39.894,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000058,train,H-FAB,CMP-01,RCP-A,P113,M1,Cu,W-RUN-000058,LOT-0701,LOT-S4330,2025-07-01T18:39:59,2025-07-01T18:41:07,IC1000,3M-Std,Cu-acidic,3.152,116.5,1.879,120,127,935.8,300,12.8586,3.0,9.8586,76.669,47.249,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000059,train,H-FAB,CMP-01,RCP-A,P136,STI,STI_Oxide,W-RUN-000059,LOT-0701,LOT-S4330,2025-07-01T18:53:07,2025-07-01T18:54:16,IC1000,3M-Std,Oxide-alkaline,10.304,63.2,0.116,121,128,1036.1,800,4.0591,3.924,0.1351,3.329,38.465,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000060,train,H-FAB,CMP-02,RCP-A,P141,M1,Cu,W-RUN-000060,LOT-0701,LOT-S0942,2025-07-01T08:00:00,2025-07-01T08:01:12,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.184,119.9,1.706,64,48,959.1,300,9.7613,4.2,5.5613,56.973,56.973,1,1,1.0408,3.184,2025-07-01T08:00:00
RUN-000061,train,H-FAB,CMP-02,RCP-C,P111,STI,STI_Oxide,W-RUN-000061,LOT-0701,LOT-S0942,2025-07-01T08:14:12,2025-07-01T08:15:40,NexPlanar-XP,Kinik-3.5,Oxide-alkaline,10.552,69.8,0.217,65,49,1077.3,800,3.326,3.0,0.326,9.803,47.539,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000062,train,H-FAB,CMP-02,RCP-A,P103,M1,Cu,W-RUN-000062,LOT-0701,LOT-S0942,2025-07-01T08:27:40,2025-07-01T08:28:59,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.157,107.0,1.722,66,50,867.3,300,12.2374,12.2016,0.0358,0.292,38.089,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000063,train,H-FAB,CMP-02,RCP-B,P105,STI,STI_Oxide,W-RUN-000063,LOT-0701,LOT-S0942,2025-07-01T08:34:59,2025-07-01T08:36:09,NexPlanar-XP,Kinik-3.5,Oxide-alkaline,10.495,66.9,0.205,67,51,1044.0,800,4.3618,3.0,1.3618,31.221,36.716,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000064,train,H-FAB,CMP-02,RCP-A,P125,M1,Cu,W-RUN-000064,LOT-0701,LOT-S0942,2025-07-01T08:48:09,2025-07-01T08:49:28,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.049,124.4,1.951,68,52,937.2,300,16.531,16.2688,0.2623,1.587,29.69,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000065,train,H-FAB,CMP-02,RCP-C,P149,STI,STI_Oxide,W-RUN-000065,LOT-0701,LOT-S0942,2025-07-01T08:58:28,2025-07-01T08:59:36,NexPlanar-XP,Kinik-3.5,Oxide-alkaline,10.093,68.7,0.23,69,53,1093.3,800,4.8221,3.0,1.8221,37.786,31.309,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000066,train,H-FAB,CMP-02,RCP-C,P133,M1,Cu,W-RUN-000066,LOT-0701,LOT-S0942,2025-07-01T09:12:36,2025-07-01T09:14:01,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.345,107.7,2.383,70,54,958.0,300,9.5439,9.7613,0.2173,2.277,25.503,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000067,train,H-FAB,CMP-02,RCP-B,P133,STI,STI_Oxide,W-RUN-000067,LOT-0701,LOT-S0942,2025-07-01T09:24:01,2025-07-01T09:25:08,NexPlanar-XP,Kinik-3.5,Oxide-alkaline,10.459,64.9,0.097,71,55,1076.9,800,5.749,3.0,2.749,47.817,29.966,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000068,train,H-FAB,CMP-02,RCP-A,P145,M1,Cu,W-RUN-000068,LOT-0701,LOT-S0942,2025-07-01T09:35:08,2025-07-01T09:36:24,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.351,128.5,2.486,72,56,919.9,300,11.9135,12.2016,0.2881,2.418,24.456,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000069,train,H-FAB,CMP-02,RCP-B,P138,M1,Cu,W-RUN-000069,LOT-0701,LOT-S0942,2025-07-01T09:46:24,2025-07-01T09:47:36,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.53,108.7,1.841,73,57,917.7,300,9.3053,9.7613,0.456,4.901,20.545,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000070,train,H-FAB,CMP-02,RCP-C,P110,M1,Cu,W-RUN-000070,LOT-0701,LOT-S0942,2025-07-01T09:58:36,2025-07-01T10:00:10,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.197,119.6,1.862,74,58,945.4,300,7.2885,7.3209,0.0325,0.445,16.525,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000071,train,H-FAB,CMP-02,RCP-A,P128,M1,Cu,W-RUN-000071,LOT-0701,LOT-S0942,2025-07-01T10:07:10,2025-07-01T10:08:22,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.362,115.1,1.69,75,59,937.3,300,9.5087,9.7613,0.2525,2.656,13.751,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000072,train,H-FAB,CMP-02,RCP-C,P132,M1,Cu,W-RUN-000072,LOT-0701,LOT-S0942,2025-07-01T10:18:22,2025-07-01T10:20:08,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.544,112.8,1.803,76,60,940.9,300,6.9604,7.3209,0.3605,5.179,12.037,1,0,1.0408,3.184,2025-07-01T08:00:00
RUN-000073,train,H-FAB,CMP-02,RCP-B,P122,M1,Cu,W-RUN-000073,LOT-0701,LOT-S0942,2025-07-01T10:32:08,2025-07-01T10:33:54,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.61,96.2,2.159,77,61,969.8,300,6.8964,7.3209,0.4246,6.156,10.861,1,0,1.0408,3.184,2025-07-01T08:00:00
