run_id,wafer_id,thickness_mean_nm,wiwnu_pct,thickness_range_nm,dishing_nm,erosion_pct,particle_count_ge_50nm,scratch_count,electrical_res_ohm,leakage_na,yield_flag
RUN-000027,W-RUN-000027,804.76,3.219,21.9,13.3,2.656,47,1,0.015387,4.679,1
RUN-000028,W-RUN-000028,302.93,3.193,22.15,16.64,1.405,54,1,0.015352,4.791,1
RUN-000029,W-RUN-000029,821.68,3.26,23.09,19.81,3.054,47,2,0.017302,6.535,1
RUN-000030,W-RUN-000030,837.01,3.178,16.71,17.43,2.759,66,1,0.018798,4.64,1
RUN-000031,W-RUN-000031,826.93,3.198,23.26,20.42,2.886,56,1,0.017694,8.134,1
RUN-000032,W-RUN-000032,312.33,3.195,20.69,13.06,3.183,52,0,0.016393,4.228,1
RUN-000033,W-RUN-000033,806.57,3.154,19.44,14.95,2.938,69,2,0.015749,6.739,1
RUN-000034,W-RUN-000034,308.15,3.263,23.49,5.48,2.374,44,3,0.016053,3.854,1
RUN-000035,W-RUN-000035,317.74,3.262,17.76,21.83,3.15,60,1,0.01673,5.474,1
RUN-000036,W-RUN-000036,301.35,3.204,23.73,13.94,1.526,52,3,0.015315,5.178,1
RUN-000037,W-RUN-000037,300.39,3.169,20.99,7.14,1.677,50,0,0.014967,4.605,1
RUN-000038,W-RUN-000038,302.74,3.294,16.61,20.62,4.169,42,2,0.0153,4.639,1
RUN-000039,W-RUN-000039,312.84,3.152,20.17,17.39,2.365,52,2,0.016112,5.377,1
RUN-000040,W-RUN-000040,308.91,3.188,19.63,9.33,1.398,50,0,0.015801,2.672,1
RUN-000041,W-RUN-000041,813.8,3.191,17.64,10.86,2.214,26,2,0.016217,3.752,1
RUN-000042,W-RUN-000042,286.62,3.287,22.14,6.81,1.058,68,3,0.013725,5.58,1
RUN-000043,W-RUN-000043,302.67,3.231,16.49,13.52,2.862,64,1,0.015277,6.963,1
RUN-000044,W-RUN-000044,792.95,3.201,25.93,10.06,2.524,53,3,0.014301,5.109,1
RUN-000045,W-RUN-000045,313.51,3.244,16.88,17.33,2.71,64,5,0.01628,3.851,1
RUN-000046,W-RUN-000046,311.1,3.23,15.36,12.68,2.756,65,0,0.016309,6.198,1
RUN-000047,W-RUN-000047,317.82,3.26,16.13,16.79,2.226,26,3,0.016661,4.055,1
RUN-000048,W-RUN-000048,319.64,3.203,23.22,15.46,2.855,52,1,0.01673,4.184,1
RUN-000049,W-RUN-000049,812.19,3.249,15.79,11.69,3.004,59,1,0.016039,6.509,1
RUN-000050,W-RUN-000050,313.53,3.215,23.6,9.57,3.084,57,2,0.016412,5.611,1
RUN-000051,W-RUN-000051,798.99,3.22,22.14,11.84,3.254,59,2,0.014847,5.651,1
RUN-000052,W-RUN-000052,815.54,3.209,19.97,18.38,3.197,37,3,0.016795,5.439,1
RUN-000053,W-RUN-000053,296.28,3.213,20.34,17.21,3.361,64,1,0.014589,4.878,1
RUN-000054,W-RUN-000054,316.4,3.194,16.52,9.98,3.16,58,5,0.016664,5.944,1
RUN-000055,W-RUN-000055,784.72,3.183,17.35,8.23,2.081,38,4,0.013467,3.561,1
RUN-000056,W-RUN-000056,307.05,3.188,19.66,10.12,2.463,58,3,0.01565,3.97,1
RUN-000057,W-RUN-000057,818.28,3.224,20.15,21.15,3.911,40,2,0.0168,4.688,1
RUN-000058,W-RUN-000058,300.87,3.199,22.71,7.83,3.296,37,3,0.015224,6.179,1
RUN-000059,W-RUN-000059,315.53,3.223,18.24,12.57,2.569,69,1,0.016502,4.859,1
RUN-000060,W-RUN-000060,799.63,3.252,21.18,9.44,1.927,52,3,0.014978,7.056,1
RUN-000061,W-RUN-000061,302.12,3.162,23.25,14.01,3.285,50,1,0.015156,4.328,1
RUN-000062,W-RUN-000062,310.39,3.217,15.89,5.71,1.395,66,2,0.015983,4.921,1
RUN-000063,W-RUN-000063,794.93,3.215,21.51,16.26,2.534,56,3,0.014452,6.486,1
RUN-000064,W-RUN-000064,307.01,3.189,22.41,10.08,0.604,47,0,0.015603,6.659,1
RUN-000065,W-RUN-000065,807.3,3.214,18.9,11.64,2.408,31,3,0.015594,8.145,1
RUN-000066,W-RUN-000066,327.16,3.211,14.5,14.53,2.145,38,2,0.017879,6.916,1
RUN-000067,W-RUN-000067,294.86,3.271,19.06,5.65,3.0,66,0,0.014305,7.392,1
RUN-000068,W-RUN-000068,802.25,3.204,21.11,3.99,2.256,70,3,0.015216,7.6,1
RUN-000069,W-RUN-000069,809.51,3.234,19.38,13.84,3.018,31,2,0.015975,4.69,1
RUN-000070,W-RUN-000070,821.1,3.256,22.18,18.99,2.724,66,1,0.017207,4.261,1
RUN-000071,W-RUN-000071,309.68,3.192,23.64,10.13,2.442,83,1,0.015905,6.878,0
RUN-000072,W-RUN-000072,302.28,3.221,20.7,8.41,1.423,34,2,0.015253,5.304,1
RUN-000073,W-RUN-000073,316.64,3.325,17.19,18.55,3.65,77,2,0.016495,4.09,1
RUN-000074,W-RUN-000074,315.59,3.207,18.06,9.23,2.759,65,1,0.016326,5.181,1
RUN-000075,W-RUN-000075,819.68,3.188,24.27,17.56,2.898,76,2,0.017084,4.015,1
RUN-000076,W-RUN-000076,802.7,3.194,16.87,16.86,2.529,36,0,0.015251,6.357,1
RUN-000077,W-RUN-000077,311.82,3.224,23.57,5.75,1.595,35,1,0.016318,4.22,1
RUN-000078,W-RUN-000078,817.39,3.198,28.3,22.58,3.831,85,1,0.016885,3.279,0
RUN-000079,W-RUN-000079,308.18,3.292,24.98,16.98,2.447,50,1,0.015738,4.241,1
RUN-000080,W-RUN-000080,311.45,3.269,18.2,13.98,2.875,54,2,0.016146,5.083,1
RUN-000081,W-RUN-000081,812.6,3.209,22.67,14.48,3.969,69,3,0.016306,8.727,1
RUN-000082,W-RUN-000082,810.46,3.209,15.55,10.22,2.108,50,2,0.01597,5.463,1
RUN-000083,W-RUN-000083,315.64,3.17,18.61,11.88,1.473,45,1,0.016554,5.922,1
RUN-000084,W-RUN-000084,300.51,3.31,29.58,13.57,3.509,70,1,0.015008,5.615,1
RUN-000085,W-RUN-000085,314.52,3.153,12.79,11.27,3.261,40,5,0.016519,3.689,1
RUN-000086,W-RUN-000086,292.77,3.211,25.04,6.36,1.688,49,3,0.014241,5.669,1
RUN-000087,W-RUN-000087,811.83,3.263,18.06,7.42,2.105,45,1,0.016139,3.859,1
RUN-000088,W-RUN-000088,311.27,3.271,20.29,10.38,1.305,46,2,0.016104,6.8,1
RUN-000089,W-RUN-000089,810.84,3.158,20.21,10.29,3.044,36,2,0.016106,5.661,1
RUN-000090,W-RUN-000090,814.23,3.184,23.64,15.79,3.442,41,3,0.016408,6.16,1
RUN-000091,W-RUN-000091,310.98,3.187,21.79,17.62,2.379,42,1,0.016116,5.71,1
RUN-000092,W-RUN-000092,310.41,3.255,20.7,16.28,2.234,45,1,0.015971,6.674,1
RUN-000093,W-RUN-000093,308.06,3.18,15.58,11.28,2.59,55,1,0.016016,3.953,1
RUN-000094,W-RUN-000094,801.03,3.292,23.57,23.69,3.744,78,0,0.015174,5.584,1
RUN-000095,W-RUN-000095,802.72,3.257,22.19,10.72,3.022,61,2,0.015106,7.931,1
RUN-000096,W-RUN-000096,810.07,3.302,23.54,13.23,2.377,25,2,0.016056,4.722,1
RUN-000097,W-RUN-000097,303.75,3.273,21.96,10.08,2.392,64,1,0.015243,6.573,1
RUN-000098,W-RUN-000098,318.78,3.205,18.37,16.71,2.89,49,3,0.016963,3.236,1
RUN-000099,W-RUN-000099,304.89,3.248,19.22,6.23,1.669,43,2,0.0156,6.658,1
RUN-000100,W-RUN-000100,339.48,3.205,23.0,15.85,3.332,63,0,0.018943,4.466,1
RUN-000101,W-RUN-000101,796.64,3.179,20.12,15.27,3.967,70,0,0.014451,3.586,1
RUN-000102,W-RUN-000102,304.82,3.224,13.29,5.88,1.128,52,1,0.01541,4.262,1
RUN-000103,W-RUN-000103,321.66,3.212,20.81,18.18,3.937,44,3,0.01712,6.251,1
RUN-000104,W-RUN-000104,303.21,3.202,17.91,13.97,3.788,87,2,0.015372,5.976,0
RUN-000105,W-RUN-000105,306.24,3.258,20.71,17.19,3.831,55,1,0.015634,5.756,1
RUN-000106,W-RUN-000106,321.38,3.203,22.0,14.83,1.523,34,0,0.017236,7.54,1
RUN-000107,W-RUN-000107,806.72,3.226,24.19,16.67,3.45,49,1,0.01568,5.623,1
RUN-000108,W-RUN-000108,818.17,3.228,23.34,14.42,3.877,29,1,0.016705,7.02,1
RUN-000109,W-RUN-000109,323.54,3.268,27.17,16.29,3.433,49,0,0.017277,4.609,1
RUN-000110,W-RUN-000110,300.64,3.167,18.67,8.25,3.59,62,0,0.015018,5.05,1
RUN-000111,W-RUN-000111,313.99,3.217,20.15,8.36,2.222,35,0,0.016242,5.339,1
RUN-000112,W-RUN-000112,309.48,3.277,14.74,6.83,2.12,65,0,0.015975,5.808,1
RUN-000113,W-RUN-000113,807.6,3.176,18.0,16.49,1.994,54,0,0.015715,5.071,1
RUN-000114,W-RUN-000114,819.37,3.215,25.2,13.31,2.627,51,1,0.01709,7.942,1
RUN-000115,W-RUN-000115,306.26,3.23,20.13,16.32,1.419,56,0,0.015731,4.303,1
RUN-000116,W-RUN-000116,297.97,3.173,19.29,7.36,0.589,36,1,0.014883,1.437,1
RUN-000117,W-RUN-000117,300.44,3.16,21.36,12.86,2.469,50,3,0.0152,3.409,1
RUN-000118,W-RUN-000118,319.6,3.206,25.8,14.85,3.147,88,0,0.016976,4.316,0
RUN-000119,W-RUN-000119,816.44,3.166,19.89,18.47,3.197,61,1,0.016666,5.183,1
RUN-000120,W-RUN-000120,320.8,3.208,18.24,8.02,1.937,48,0,0.016981,6.609,1
RUN-000121,W-RUN-000121,317.6,3.228,17.54,14.01,3.161,63,4,0.01676,5.008,1
RUN-000122,W-RUN-000122,795.78,3.169,17.01,7.92,1.371,60,3,0.014466,5.09,1
RUN-000123,W-RUN-000123,817.87,3.226,18.52,19.73,3.628,75,2,0.016879,7.305,1
RUN-000124,W-RUN-000124,305.98,3.234,18.69,0.2,0.824,69,0,0.015529,5.672,1
RUN-000125,W-RUN-000125,810.09,3.188,22.81,12.28,3.371,74,2,0.015922,2.424,1
RUN-000126,W-RUN-000126,789.92,3.221,16.96,10.31,2.674,38,1,0.014108,2.966,1
RUN-000127,W-RUN-000127,306.76,3.248,21.46,9.17,3.994,54,1,0.015698,6.17,1
RUN-000128,W-RUN-000128,298.88,3.238,24.84,10.63,2.771,43,2,0.015056,5.259,1
RUN-000129,W-RUN-000129,295.05,3.247,17.55,10.28,2.061,91,3,0.014523,4.639,0
RUN-000130,W-RUN-000130,303.03,3.239,20.2,12.83,2.263,60,1,0.015559,3.533,1
RUN-000131,W-RUN-000131,313.86,3.198,20.61,10.4,2.937,55,3,0.016381,6.341,1
RUN-000132,W-RUN-000132,304.19,3.196,19.51,12.76,3.16,60,0,0.015343,4.391,1
RUN-000133,W-RUN-000133,818.85,3.268,12.53,16.98,2.051,47,2,0.016932,4.038,1
RUN-000134,W-RUN-000134,795.39,3.294,23.07,15.39,3.022,33,4,0.014312,5.662,1
RUN-000135,W-RUN-000135,321.68,3.219,20.2,23.51,3.879,74,1,0.017182,6.24,1
RUN-000136,W-RUN-000136,813.78,3.175,16.09,14.93,2.588,30,2,0.016458,5.885,1
RUN-000137,W-RUN-000137,797.43,3.279,19.78,11.73,2.839,59,1,0.014801,4.88,1
RUN-000138,W-RUN-000138,322.1,3.231,20.52,17.7,2.525,42,1,0.017278,2.462,1
RUN-000139,W-RUN-000139,312.15,3.193,16.79,16.82,2.096,54,0,0.016384,4.522,1
RUN-000140,W-RUN-000140,316.22,3.234,24.33,20.47,3.173,70,3,0.016811,3.955,1
RUN-000141,W-RUN-000141,327.19,3.208,16.8,12.31,2.134,38,2,0.017689,4.467,1
RUN-000142,W-RUN-000142,804.94,3.237,23.34,16.14,3.214,47,1,0.015646,3.919,1
RUN-000143,W-RUN-000143,311.1,3.208,24.14,17.16,2.719,78,1,0.015976,6.341,1
RUN-000144,W-RUN-000144,304.6,3.285,22.31,15.43,2.145,47,2,0.015604,5.297,1
RUN-000145,W-RUN-000145,816.26,3.17,17.26,23.87,3.944,57,3,0.016457,5.01,1
RUN-000146,W-RUN-000146,799.59,3.209,17.0,18.71,3.111,58,3,0.014892,8.857,1
RUN-000147,W-RUN-000147,296.91,3.17,18.93,8.11,0.974,65,0,0.014743,4.117,1
RUN-000148,W-RUN-000148,319.0,3.172,23.27,12.58,1.548,70,4,0.016987,5.814,1
RUN-000149,W-RUN-000149,802.11,3.259,24.43,7.91,3.23,53,0,0.015291,4.4,1
RUN-000150,W-RUN-000150,810.37,3.251,16.85,12.76,2.352,50,3,0.016099,7.191,1
RUN-000151,W-RUN-000151,785.02,3.202,25.68,13.85,3.302,64,1,0.013394,2.314,1
RUN-000152,W-RUN-000152,804.73,3.249,12.89,15.03,3.119,48,1,0.015396,5.626,1
RUN-000153,W-RUN-000153,301.06,3.172,25.31,7.78,1.16,64,1,0.015366,7.409,1
RUN-000154,W-RUN-000154,818.64,3.294,23.93,21.29,4.091,83,2,0.0169,4.973,0
RUN-000155,W-RUN-000155,306.96,3.183,23.18,20.75,3.004,36,2,0.015489,2.242,1
RUN-000156,W-RUN-000156,310.73,3.28,15.52,18.93,1.879,46,1,0.015945,2.974,1
RUN-000157,W-RUN-000157,821.97,3.24,20.95,17.09,2.949,81,2,0.017171,5.151,0
RUN-000158,W-RUN-000158,303.61,3.233,15.85,6.32,3.068,44,2,0.015314,3.489,1
RUN-000159,W-RUN-000159,309.07,3.199,21.87,13.04,3.453,64,1,0.015917,4.764,1
RUN-000160,W-RUN-000160,811.4,3.153,19.79,8.98,2.327,49,1,0.016162,6.03,1
RUN-000161,W-RUN-000161,308.73,3.204,16.56,19.71,2.934,62,1,0.015974,3.884,1
RUN-000162,W-RUN-000162,323.9,3.177,22.57,17.75,3.5,86,0,0.017434,6.13,0
RUN-000163,W-RUN-000163,806.08,3.184,18.48,20.67,3.736,45,4,0.015488,7.296,1
RUN-000164,W-RUN-000164,805.64,3.185,24.03,15.0,4.256,35,1,0.015547,6.142,1
RUN-000165,W-RUN-000165,311.7,3.187,20.59,14.13,2.469,77,0,0.016081,5.438,1
RUN-000166,W-RUN-000166,294.43,3.227,23.61,12.72,2.846,45,6,0.014514,3.414,1
RUN-000167,W-RUN-000167,804.3,3.197,22.32,16.87,2.243,52,3,0.015297,3.116,1
RUN-000168,W-RUN-000168,318.07,3.234,20.21,11.74,1.473,66,1,0.017023,6.622,1
RUN-000169,W-RUN-000169,301.05,3.247,20.49,11.83,2.431,68,2,0.015218,4.479,1
RUN-000170,W-RUN-000170,798.86,3.281,18.95,14.55,2.671,50,1,0.014985,5.126,1
RUN-000171,W-RUN-000171,294.09,3.184,28.56,14.72,2.491,56,5,0.014489,4.873,1
RUN-000172,W-RUN-000172,819.43,3.203,24.33,16.81,3.022,46,2,0.01671,4.622,1
RUN-000173,W-RUN-000173,313.45,3.211,18.01,14.76,2.006,67,0,0.01623,6.484,1
RUN-000174,W-RUN-000174,311.89,3.252,23.39,11.27,2.228,33,3,0.016193,2.963,1
RUN-000175,W-RUN-000175,820.38,3.206,22.2,21.77,4.21,42,1,0.017014,4.694,1
RUN-000176,W-RUN-000176,319.72,3.205,19.83,17.03,2.985,39,2,0.016893,5.597,1
RUN-000177,W-RUN-000177,804.69,3.174,16.12,20.16,3.215,38,4,0.015468,4.472,1
RUN-000178,W-RUN-000178,297.43,3.22,18.18,7.46,2.317,54,3,0.014795,4.755,1
RUN-000179,W-RUN-000179,312.59,3.221,16.64,8.5,1.63,56,2,0.016219,4.51,1
RUN-000180,W-RUN-000180,313.87,3.191,16.19,18.77,2.998,61,1,0.016384,3.847,1
RUN-000181,W-RUN-000181,804.28,3.176,22.62,21.37,4.086,55,1,0.015543,6.534,1
RUN-000182,W-RUN-000182,320.34,3.269,20.13,17.73,1.445,68,1,0.016909,6.456,1
RUN-000183,W-RUN-000183,317.49,3.16,23.82,13.58,2.687,54,1,0.016551,6.008,1
RUN-000184,W-RUN-000184,301.98,3.211,19.82,5.57,1.27,41,2,0.015202,2.372,1
RUN-000185,W-RUN-000185,312.35,3.24,20.3,16.05,2.448,57,4,0.016282,3.738,1
RUN-000186,W-RUN-000186,310.91,3.158,26.01,9.27,2.283,43,3,0.016074,4.007,1
RUN-000187,W-RUN-000187,808.18,3.204,21.12,19.65,3.268,48,1,0.015649,5.296,1
RUN-000188,W-RUN-000188,330.71,3.277,18.79,21.1,2.996,62,0,0.018153,6.533,1
RUN-000189,W-RUN-000189,817.43,3.287,22.45,19.0,3.491,41,0,0.016758,7.195,1
RUN-000190,W-RUN-000190,812.22,3.178,23.32,20.61,4.156,52,3,0.016063,4.699,1
RUN-000191,W-RUN-000191,319.75,3.133,20.8,11.76,2.54,63,2,0.017249,3.853,1
RUN-000192,W-RUN-000192,310.4,3.185,25.14,15.95,2.675,56,4,0.0162,9.816,1
RUN-000193,W-RUN-000193,318.89,3.213,20.43,17.07,2.88,49,0,0.016903,4.398,1
RUN-000194,W-RUN-000194,304.53,3.17,19.76,11.54,2.061,58,1,0.015456,8.263,1
RUN-000195,W-RUN-000195,808.18,3.25,19.34,19.25,3.046,85,2,0.015932,5.572,0
RUN-000196,W-RUN-000196,308.3,3.235,25.82,5.31,1.82,39,0,0.015821,4.547,1
RUN-000197,W-RUN-000197,313.21,3.219,22.82,19.56,3.155,83,3,0.016346,7.132,0
RUN-000198,W-RUN-000198,312.39,3.158,21.34,16.05,2.471,48,1,0.01627,2.474,1
RUN-000199,W-RUN-000199,805.41,3.221,18.43,6.38,2.482,46,2,0.015721,5.353,1
RUN-000200,W-RUN-000200,309.07,3.235,18.48,16.34,2.355,50,2,0.01597,4.709,1
RUN-000201,W-RUN-000201,323.68,3.242,21.09,6.03,3.18,47,2,0.017359,6.91,1
RUN-000202,W-RUN-000202,306.85,3.134,18.21,12.57,1.757,53,1,0.01554,7.265,1
RUN-000203,W-RUN-000203,314.29,3.161,24.79,15.72,3.198,53,1,0.016493,5.034,1
RUN-000204,W-RUN-000204,304.34,3.276,22.48,13.42,3.392,56,2,0.015347,5.443,1
RUN-000205,W-RUN-000205,314.9,3.178,18.87,12.65,3.411,62,3,0.016465,4.396,1
RUN-000206,W-RUN-000206,303.0,3.207,23.75,13.24,1.561,43,1,0.015303,3.765,1
RUN-000207,W-RUN-000207,308.36,3.321,18.68,14.56,2.065,46,2,0.015969,6.292,1
RUN-000208,W-RUN-000208,315.87,3.227,20.85,13.98,2.958,57,2,0.01661,6.492,1
RUN-000209,W-RUN-000209,298.43,3.226,17.46,15.69,2.424,71,2,0.014707,4.492,1
RUN-000210,W-RUN-000210,301.36,3.256,16.87,16.35,1.758,51,0,0.014965,3.43,1
RUN-000211,W-RUN-000211,799.32,3.282,16.15,13.9,3.713,77,3,0.015034,3.75,1
RUN-000212,W-RUN-000212,302.23,3.165,20.47,16.15,3.571,53,1,0.015376,2.667,1
RUN-000213,W-RUN-000213,304.13,3.243,17.87,16.52,2.368,50,3,0.015523,4.251,1
RUN-000214,W-RUN-000214,797.62,3.236,20.81,1.62,2.444,44,2,0.014746,6.315,1
RUN-000215,W-RUN-000215,309.96,3.253,17.74,18.0,3.911,55,2,0.01607,3.993,1
RUN-000216,W-RUN-000216,803.87,3.183,23.96,12.26,3.174,82,1,0.01548,5.184,0
RUN-000217,W-RUN-000217,816.08,3.275,23.38,20.11,3.514,50,4,0.016636,2.961,1
RUN-000218,W-RUN-000218,306.38,3.293,24.08,9.67,2.026,83,2,0.015674,5.234,0
RUN-000219,W-RUN-000219,316.6,3.163,16.39,18.24,3.65,45,4,0.0165,6.755,1
RUN-000220,W-RUN-000220,300.69,3.295,20.66,10.26,2.086,54,0,0.015082,5.491,1
RUN-000221,W-RUN-000221,799.39,3.172,16.4,6.97,2.08,59,1,0.014919,7.605,1
RUN-000222,W-RUN-000222,821.71,3.286,19.5,17.17,3.234,61,2,0.01729,6.275,1
RUN-000223,W-RUN-000223,825.73,3.239,16.85,20.14,4.723,46,1,0.017668,4.548,1
RUN-000224,W-RUN-000224,310.59,3.185,19.39,18.63,3.139,38,3,0.015984,5.861,1
RUN-000225,W-RUN-000225,293.25,3.261,21.93,1.1,1.948,77,4,0.014248,4.106,1
RUN-000226,W-RUN-000226,321.95,3.193,13.98,15.8,2.345,41,1,0.017307,3.903,1
RUN-000227,W-RUN-000227,807.15,3.202,20.17,18.33,2.899,53,2,0.01562,7.347,1
RUN-000228,W-RUN-000228,810.56,3.232,17.3,11.7,3.264,51,1,0.016136,6.423,1
RUN-000229,W-RUN-000229,306.41,3.178,16.2,11.05,2.567,63,3,0.015496,7.04,1
RUN-000230,W-RUN-000230,814.08,3.215,16.66,14.5,4.569,52,0,0.016319,3.345,1
RUN-000231,W-RUN-000231,298.23,3.252,25.14,3.16,0.62,56,1,0.01478,7.855,1
RUN-000232,W-RUN-000232,815.25,3.215,17.63,11.06,2.756,38,3,0.016472,4.812,1
RUN-000233,W-RUN-000233,797.03,3.204,23.27,8.53,2.73,34,0,0.014837,5.361,1
RUN-000234,W-RUN-000234,318.11,3.173,21.88,11.86,2.041,41,1,0.016764,5.838,1
RUN-000235,W-RUN-000235,811.8,3.35,18.67,21.16,3.532,58,1,0.016219,5.373,1
RUN-000236,W-RUN-000236,817.1,3.236,28.17,18.11,3.042,42,0,0.016713,5.885,1
RUN-000237,W-RUN-000237,802.57,3.176,18.16,12.05,1.906,41,0,0.015403,3.756,1
RUN-000238,W-RUN-000238,308.76,3.164,20.52,6.36,2.235,53,2,0.015969,4.094,1
RUN-000239,W-RUN-000239,814.64,3.249,20.22,18.18,4.162,38,2,0.016322,5.095,1
RUN-000240,W-RUN-000240,819.04,3.161,23.34,15.31,4.569,44,0,0.016986,5.57,1
RUN-000241,W-RUN-000241,315.2,3.246,24.32,15.71,3.228,48,1,0.016537,5.104,1
RUN-000242,W-RUN-000242,799.69,3.218,22.51,6.87,1.876,44,2,0.015085,5.748,1
RUN-000243,W-RUN-000243,301.61,3.177,14.34,7.15,1.661,54,1,0.015268,6.4,1
RUN-000244,W-RUN-000244,813.54,3.179,21.49,12.78,2.948,57,3,0.016311,5.589,1
RUN-000245,W-RUN-000245,298.87,3.191,17.54,13.65,2.726,52,2,0.014725,5.733,1
RUN-000246,W-RUN-000246,301.65,3.199,22.62,15.83,3.517,40,1,0.0151,3.197,1
RUN-000247,W-RUN-000247,811.3,3.226,19.05,14.53,3.348,59,4,0.016094,4.318,1
RUN-000248,W-RUN-000248,317.72,3.203,23.94,9.03,2.603,73,1,0.016927,6.398,1
RUN-000249,W-RUN-000249,810.61,3.213,22.91,16.59,2.185,58,2,0.016153,6.981,1
RUN-000250,W-RUN-000250,792.03,3.231,24.44,17.32,3.696,57,2,0.014129,6.723,1
RUN-000251,W-RUN-000251,307.88,3.197,18.77,17.17,3.332,58,1,0.015724,1.254,1
RUN-000252,W-RUN-000252,812.04,3.16,16.34,21.38,3.505,31,5,0.01611,4.897,1
RUN-000253,W-RUN-000253,821.03,3.22,21.5,15.38,2.626,39,2,0.017216,9.169,1
RUN-000254,W-RUN-000254,320.8,3.169,16.96,6.8,3.035,64,3,0.016994,5.662,1
RUN-000255,W-RUN-000255,816.02,3.193,19.77,15.67,3.346,35,2,0.016694,6.191,1
RUN-000256,W-RUN-000256,799.09,3.202,19.65,10.24,1.766,46,2,0.014981,6.453,1
RUN-000257,W-RUN-000257,317.5,3.216,19.43,24.16,2.501,61,3,0.016608,4.493,1
RUN-000258,W-RUN-000258,791.7,3.273,20.93,5.82,2.855,62,5,0.014286,2.723,1
RUN-000259,W-RUN-000259,305.77,3.255,18.08,12.42,1.888,46,3,0.015781,5.691,1
RUN-000260,W-RUN-000260,302.04,3.184,23.62,7.27,1.683,66,2,0.015107,6.27,1
RUN-000261,W-RUN-000261,802.63,3.15,21.5,13.36,1.308,53,2,0.015406,4.721,1
RUN-000262,W-RUN-000262,304.1,3.296,16.13,11.0,2.541,46,2,0.015395,6.676,1
RUN-000263,W-RUN-000263,319.8,3.209,22.44,12.41,2.41,46,1,0.017131,4.592,1
RUN-000264,W-RUN-000264,806.6,3.213,21.78,7.13,3.451,51,3,0.015751,0.033,1
RUN-000265,W-RUN-000265,287.91,3.243,22.61,0.81,0.784,37,0,0.013707,4.306,1
RUN-000266,W-RUN-000266,316.88,3.143,23.19,13.53,3.68,51,2,0.016728,7.799,1
RUN-000267,W-RUN-000267,308.54,3.241,25.36,15.65,2.252,38,0,0.01585,9.685,1
RUN-000268,W-RUN-000268,799.36,3.235,24.5,14.17,2.76,52,4,0.015094,8.16,1
RUN-000269,W-RUN-000269,304.49,3.195,19.68,9.04,1.979,47,1,0.015589,5.043,1
