run_id,brush_speed_rpm,contact_force_n,chem_type,chem_conc_pct,megasonic_w,megasonic_khz,di_temp_c,rinse_s,dry_type
RUN-000068,220,5,alkaline,1.16,0,0,21.952,40,Marangoni
RUN-000069,220,9,alkaline,0.86,150,1000,22.273,30,Marangoni
RUN-000070,220,9,alkaline,0.994,0,0,22.339,30,Marangoni
RUN-000071,240,9,acidic,0.665,0,0,22.281,30,SR
RUN-000072,220,9,acidic,0.446,150,800,22.468,20,Marangoni
RUN-000073,220,7,acidic,0.422,0,0,21.858,20,SR
RUN-000074,220,9,acidic,0.604,250,1000,21.739,30,Marangoni
RUN-000075,220,7,alkaline,1.017,0,0,22.542,40,Marangoni
RUN-000076,240,9,alkaline,0.847,250,1000,22.082,20,Marangoni
RUN-000077,220,9,acidic,0.594,150,1000,23.062,20,Marangoni
RUN-000078,240,9,alkaline,1.167,0,0,21.569,30,Marangoni
RUN-000079,240,9,acidic,0.591,250,1000,22.546,20,Marangoni
RUN-000080,200,9,acidic,0.626,150,1000,22.341,20,Marangoni
RUN-000081,220,7,alkaline,1.028,150,1000,21.598,30,SR
RUN-000082,200,9,alkaline,0.912,250,800,21.88,20,Marangoni
RUN-000083,200,5,acidic,0.537,150,800,21.901,30,SR
RUN-000084,220,7,acidic,0.486,0,0,21.728,30,Marangoni
RUN-000085,220,5,acidic,0.468,150,800,22.272,20,Marangoni
RUN-000086,220,9,acidic,0.413,250,1000,22.13,20,Marangoni
RUN-000087,240,7,alkaline,1.101,0,0,21.543,40,Marangoni
RUN-000088,200,7,acidic,0.61,150,1000,21.966,40,SR
RUN-000089,220,9,alkaline,0.858,150,1000,21.741,40,Marangoni
RUN-000090,240,7,alkaline,1.007,250,800,21.881,30,Marangoni
RUN-000091,220,7,acidic,0.384,150,800,21.986,20,SR
RUN-000092,240,7,acidic,0.653,150,800,21.613,40,Marangoni
RUN-000093,240,9,acidic,0.552,250,800,21.593,40,Marangoni
RUN-000094,240,7,alkaline,1.037,0,0,22.029,40,SR
RUN-000095,220,5,alkaline,0.939,0,0,22.116,20,Marangoni
RUN-000096,240,9,alkaline,1.056,250,800,22.125,40,SR
RUN-000097,240,9,acidic,0.407,250,800,21.364,20,Marangoni
RUN-000098,200,7,acidic,0.496,150,1000,21.857,20,Marangoni
RUN-000099,240,9,acidic,0.57,250,800,21.866,20,SR
RUN-000100,220,7,acidic,0.402,150,1000,21.282,20,SR
RUN-000101,220,5,alkaline,0.949,150,1000,21.158,40,Marangoni
RUN-000102,240,9,acidic,0.498,250,1000,21.662,20,SR
RUN-000103,220,7,acidic,0.617,150,800,21.44,40,SR
RUN-000104,240,9,acidic,0.434,0,0,21.554,20,SR
RUN-000105,200,5,acidic,0.446,150,1000,21.736,20,Marangoni
RUN-000106,200,7,acidic,0.581,250,1000,21.527,30,Marangoni
RUN-000107,220,7,alkaline,1.013,150,1000,21.069,20,SR
RUN-000108,220,7,alkaline,1.049,150,1000,22.208,20,SR
RUN-000109,200,9,acidic,0.732,250,800,21.053,20,SR
RUN-000110,240,5,acidic,0.476,0,0,21.94,20,Marangoni
RUN-000111,240,5,acidic,0.426,250,1000,21.734,30,SR
RUN-000112,240,5,acidic,0.586,0,0,21.585,40,SR
RUN-000113,220,9,alkaline,0.763,150,800,21.795,20,SR
RUN-000114,200,9,alkaline,1.0,0,0,21.594,30,Marangoni
RUN-000115,220,7,acidic,0.582,250,800,22.167,40,SR
RUN-000116,220,5,acidic,0.537,250,800,21.526,40,SR
RUN-000117,200,5,acidic,0.411,250,800,21.875,30,Marangoni
RUN-000118,200,7,acidic,0.529,0,0,21.289,40,Marangoni
RUN-000119,200,9,alkaline,0.841,0,0,22.048,40,Marangoni
RUN-000120,200,7,acidic,0.447,150,1000,22.341,40,Marangoni
RUN-000121,240,9,acidic,0.576,250,800,21.287,30,SR
RUN-000122,200,5,alkaline,0.916,250,1000,21.609,40,SR
RUN-000123,240,5,alkaline,1.034,0,0,21.727,30,SR
RUN-000124,220,5,acidic,0.455,0,0,20.952,20,Marangoni
RUN-000125,240,7,alkaline,1.08,0,0,21.621,30,Marangoni
RUN-000126,240,9,alkaline,1.043,150,800,21.978,20,SR
RUN-000127,220,7,acidic,0.468,0,0,21.769,20,Marangoni
RUN-000128,240,7,acidic,0.521,0,0,21.567,40,Marangoni
RUN-000129,200,7,acidic,0.317,0,0,21.793,40,SR
RUN-000130,200,5,acidic,0.526,250,1000,21.282,20,SR
RUN-000131,200,9,acidic,0.494,250,800,21.794,30,SR
RUN-000132,200,5,acidic,0.596,150,800,22.579,40,SR
RUN-000133,240,9,alkaline,1.072,250,1000,21.719,20,SR
RUN-000134,200,9,alkaline,0.989,150,800,21.438,40,SR
RUN-000135,200,7,acidic,0.305,0,0,22.219,40,SR
RUN-000136,200,9,alkaline,0.822,250,800,21.528,20,Marangoni
RUN-000137,240,7,alkaline,1.034,250,800,21.735,20,Marangoni
RUN-000138,240,7,acidic,0.534,250,1000,22.06,20,SR
RUN-000139,240,7,acidic,0.464,250,800,21.788,30,SR
RUN-000140,220,7,acidic,0.628,0,0,21.395,40,Marangoni
RUN-000141,200,9,acidic,0.593,250,1000,21.792,20,Marangoni
RUN-000142,240,7,alkaline,1.089,250,800,21.876,20,Marangoni
RUN-000143,200,5,acidic,0.5,0,0,22.083,30,SR
RUN-000144,240,7,acidic,0.5,150,1000,22.226,40,SR
RUN-000145,200,9,alkaline,0.874,150,1000,21.955,40,Marangoni
RUN-000146,240,9,alkaline,0.914,150,800,21.918,30,SR
RUN-000147,200,5,acidic,0.4,0,0,22.403,40,Marangoni
RUN-000148,200,9,acidic,0.549,0,0,22.058,20,SR
RUN-000149,200,5,alkaline,0.857,250,800,21.968,40,SR
RUN-000150,220,5,alkaline,1.059,150,1000,22.376,30,SR
RUN-000151,240,7,alkaline,1.112,0,0,21.807,40,Marangoni
RUN-000152,240,7,alkaline,0.917,250,800,21.87,20,Marangoni
RUN-000153,200,9,acidic,0.408,0,0,22.361,30,Marangoni
RUN-000154,220,5,alkaline,1.078,0,0,22.225,40,Marangoni
RUN-000155,240,5,acidic,0.46,250,1000,21.817,30,Marangoni
RUN-000156,200,7,acidic,0.536,0,0,22.516,20,Marangoni
RUN-000157,200,9,alkaline,1.084,0,0,22.574,40,Marangoni
RUN-000158,240,9,acidic,0.483,250,1000,22.219,40,SR
RUN-000159,240,9,acidic,0.467,0,0,22.244,30,Marangoni
RUN-000160,240,7,alkaline,0.94,150,1000,22.886,20,SR
RUN-000161,240,9,acidic,0.561,150,800,21.718,30,Marangoni
RUN-000162,240,5,acidic,0.486,0,0,22.567,30,Marangoni
RUN-000163,220,7,alkaline,1.037,150,800,22.054,30,SR
RUN-000164,240,5,alkaline,0.755,250,800,22.251,30,Marangoni
RUN-000165,240,7,acidic,0.467,0,0,22.562,40,SR
RUN-000166,220,9,acidic,0.55,250,1000,22.607,40,SR
RUN-000167,240,5,alkaline,0.997,150,800,22.218,40,Marangoni
RUN-000168,240,9,acidic,0.623,0,0,22.18,30,SR
RUN-000169,200,9,acidic,0.634,250,800,22.595,40,SR
RUN-000170,240,5,alkaline,0.76,150,800,22.087,40,SR
RUN-000171,240,7,acidic,0.536,250,1000,22.286,20,Marangoni
RUN-000172,200,5,alkaline,0.97,150,1000,22.412,40,SR
RUN-000173,200,7,acidic,0.507,150,1000,22.374,30,SR
RUN-000174,220,5,acidic,0.57,150,800,22.514,20,Marangoni
RUN-000175,200,9,alkaline,1.09,150,1000,22.341,40,Marangoni
RUN-000176,220,9,acidic,0.426,150,1000,22.518,40,Marangoni
RUN-000177,240,7,alkaline,0.997,250,800,22.271,30,SR
RUN-000178,200,7,acidic,0.498,150,800,22.273,30,SR
RUN-000179,220,5,acidic,0.431,250,800,22.454,30,Marangoni
RUN-000180,220,9,acidic,0.558,250,800,22.721,30,Marangoni
RUN-000181,240,7,alkaline,0.982,250,800,22.4,40,Marangoni
RUN-000182,240,9,acidic,0.414,0,0,22.493,40,SR
RUN-000183,240,9,acidic,0.461,250,800,22.449,30,Marangoni
RUN-000184,240,9,acidic,0.337,150,1000,22.784,20,Marangoni
RUN-000185,220,9,acidic,0.42,150,1000,22.366,40,Marangoni
RUN-000186,220,7,acidic,0.457,150,800,21.973,20,Marangoni
RUN-000187,220,7,alkaline,1.062,250,1000,22.389,30,Marangoni
RUN-000188,220,7,acidic,0.528,150,1000,22.622,40,SR
RUN-000189,200,7,alkaline,0.981,250,800,22.413,20,SR
RUN-000190,240,7,alkaline,0.88,0,0,22.044,30,SR
RUN-000191,220,9,acidic,0.41,250,1000,22.12,30,SR
RUN-000192,220,9,acidic,0.483,150,800,22.234,40,SR
RUN-000193,200,9,acidic,0.378,250,1000,21.944,30,SR
RUN-000194,200,9,acidic,0.606,150,1000,22.362,20,Marangoni
RUN-000195,240,5,alkaline,1.021,0,0,22.895,40,Marangoni
RUN-000196,200,9,acidic,0.578,150,1000,21.932,20,SR
RUN-000197,200,7,acidic,0.519,0,0,22.318,30,Marangoni
RUN-000198,240,5,acidic,0.484,150,1000,22.972,40,Marangoni
RUN-000199,200,7,alkaline,1.007,0,0,22.853,30,Marangoni
RUN-000200,200,9,acidic,0.506,250,1000,22.383,30,SR
RUN-000201,240,5,acidic,0.294,150,800,21.717,40,Marangoni
RUN-000202,240,9,acidic,0.62,0,0,22.594,40,SR
RUN-000203,240,5,acidic,0.591,150,800,22.766,20,Marangoni
RUN-000204,220,5,acidic,0.661,150,1000,22.137,30,Marangoni
RUN-000205,220,5,acidic,0.466,0,0,21.931,40,Marangoni
RUN-000206,220,9,acidic,0.413,150,1000,21.973,40,Marangoni
RUN-000207,200,7,acidic,0.424,150,1000,21.751,30,SR
RUN-000208,200,7,acidic,0.308,150,800,22.185,30,SR
RUN-000209,240,7,acidic,0.625,0,0,21.784,20,SR
RUN-000210,220,5,acidic,0.446,250,1000,22.526,30,SR
RUN-000211,200,7,alkaline,0.974,0,0,22.228,20,Marangoni
RUN-000212,200,7,acidic,0.374,150,800,21.684,40,SR
RUN-000213,220,7,acidic,0.496,250,800,22.143,40,Marangoni
RUN-000214,240,7,alkaline,0.848,150,1000,21.976,40,Marangoni
RUN-000215,220,9,acidic,0.418,150,1000,22.231,20,SR
RUN-000216,220,5,alkaline,0.866,0,0,21.077,20,Marangoni
RUN-000217,240,7,alkaline,0.981,250,1000,21.449,30,SR
RUN-000218,240,5,acidic,0.523,0,0,21.866,30,Marangoni
RUN-000219,200,5,acidic,0.432,150,1000,21.853,30,Marangoni
RUN-000220,240,5,acidic,0.449,0,0,21.526,40,SR
RUN-000221,220,9,alkaline,0.989,0,0,21.7,40,Marangoni
RUN-000222,220,5,alkaline,1.114,250,1000,22.0,30,SR
RUN-000223,240,7,alkaline,1.037,250,800,21.645,30,SR
RUN-000224,220,7,acidic,0.307,150,800,21.471,40,Marangoni
RUN-000225,240,7,acidic,0.717,250,1000,21.619,40,SR
RUN-000226,220,9,acidic,0.394,150,1000,22.857,30,SR
RUN-000227,240,9,alkaline,0.804,250,1000,21.916,40,Marangoni
RUN-000228,240,5,alkaline,0.976,150,1000,21.642,20,Marangoni
RUN-000229,240,9,acidic,0.457,0,0,21.994,40,Marangoni
RUN-000230,240,7,alkaline,1.044,250,1000,21.296,30,Marangoni
RUN-000231,220,9,acidic,0.444,0,0,21.816,40,SR
RUN-000232,200,5,alkaline,1.009,150,1000,21.785,40,Marangoni
RUN-000233,220,7,alkaline,1.155,250,800,21.445,40,SR
RUN-000234,220,9,acidic,0.39,250,1000,21.355,20,SR
RUN-000235,220,7,alkaline,1.052,0,0,21.83,20,SR
RUN-000236,200,9,alkaline,0.775,250,800,21.633,20,SR
RUN-000237,220,5,alkaline,0.87,150,1000,21.397,40,SR
RUN-000238,200,5,acidic,0.442,150,800,20.57,20,SR
RUN-000239,240,5,alkaline,0.964,250,800,21.371,40,SR
RUN-000240,200,5,alkaline,1.176,150,800,22.132,20,Marangoni
RUN-000241,240,7,acidic,0.616,250,800,22.149,30,SR
RUN-000242,240,5,alkaline,1.177,250,1000,22.271,20,Marangoni
RUN-000243,200,5,acidic,0.376,150,800,22.108,40,Marangoni
RUN-000244,200,7,alkaline,1.045,250,800,22.329,20,Marangoni
RUN-000245,200,7,acidic,0.569,250,1000,22.382,30,Marangoni
RUN-000246,240,5,acidic,0.477,250,800,22.593,40,Marangoni
RUN-000247,220,7,alkaline,1.184,150,800,22.814,30,Marangoni
RUN-000248,200,9,acidic,0.737,0,0,23.162,40,SR
RUN-000249,220,5,alkaline,1.062,0,0,21.714,20,SR
RUN-000250,240,7,alkaline,0.911,250,800,22.004,40,SR
RUN-000251,220,5,acidic,0.426,150,1000,21.725,30,Marangoni
RUN-000252,220,9,alkaline,0.91,150,1000,22.424,30,SR
RUN-000253,240,7,alkaline,0.849,150,800,22.428,20,Marangoni
RUN-000254,240,7,acidic,0.459,250,1000,22.403,20,SR
RUN-000255,240,5,alkaline,1.056,150,1000,22.247,30,Marangoni
RUN-000256,240,9,alkaline,1.099,250,800,22.563,20,SR
RUN-000257,220,9,acidic,0.483,150,1000,22.266,30,Marangoni
RUN-000258,240,9,alkaline,0.975,150,800,22.33,40,SR
RUN-000259,240,9,acidic,0.501,150,800,22.304,40,Marangoni
RUN-000260,200,7,acidic,0.455,0,0,22.097,40,SR
RUN-000261,200,9,alkaline,0.937,150,1000,21.768,20,SR
RUN-000262,220,7,acidic,0.46,150,1000,22.205,40,SR
RUN-000263,240,5,acidic,0.442,150,800,21.931,30,Marangoni
RUN-000264,220,9,alkaline,1.048,250,1000,22.366,30,Marangoni
RUN-000265,220,9,acidic,0.428,250,1000,21.762,20,Marangoni
RUN-000266,240,5,acidic,0.402,250,1000,21.896,20,Marangoni
RUN-000267,240,9,acidic,0.501,250,1000,21.945,30,Marangoni
RUN-000268,200,5,alkaline,0.846,0,0,22.491,20,Marangoni
RUN-000269,200,5,acidic,0.522,250,800,22.119,30,SR
RUN-000270,240,7,alkaline,0.94,250,1000,21.955,20,SR
RUN-000271,200,9,acidic,0.67,0,0,22.159,20,Marangoni
RUN-000272,240,9,acidic,0.537,0,0,22.1,40,SR
RUN-000273,220,7,acidic,0.564,150,800,22.295,40,Marangoni
RUN-000274,240,7,acidic,0.563,150,800,21.869,40,Marangoni
RUN-000275,240,5,acidic,0.518,150,800,21.922,20,Marangoni
RUN-000276,200,5,acidic,0.426,250,800,21.904,40,Marangoni
RUN-000277,200,9,alkaline,1.005,150,1000,21.415,40,SR
RUN-000278,240,5,alkaline,1.029,150,1000,21.565,30,Marangoni
RUN-000279,220,7,alkaline,0.794,250,1000,21.085,20,SR
RUN-000280,240,5,acidic,0.369,250,1000,21.999,40,SR
RUN-000281,200,5,acidic,0.532,150,1000,21.439,40,SR
RUN-000282,220,5,alkaline,0.931,150,800,21.832,30,Marangoni
RUN-000283,240,9,alkaline,0.988,250,800,21.675,20,Marangoni
RUN-000284,200,5,alkaline,0.995,0,0,21.272,40,SR
RUN-000285,200,5,alkaline,1.15,0,0,21.263,30,SR
RUN-000286,220,7,alkaline,0.987,250,800,21.713,40,Marangoni
RUN-000287,240,9,alkaline,1.011,0,0,21.581,30,Marangoni
RUN-000288,200,5,acidic,0.466,0,0,21.755,30,SR
RUN-000289,220,7,acidic,0.616,150,1000,21.804,30,Marangoni
RUN-000290,220,9,acidic,0.628,0,0,21.929,20,Marangoni
RUN-000291,200,5,acidic,0.815,150,800,21.56,40,Marangoni
RUN-000292,220,7,acidic,0.637,0,0,21.289,20,Marangoni
RUN-000293,200,5,alkaline,1.014,0,0,21.493,30,SR
RUN-000294,240,9,acidic,0.483,250,800,21.101,20,Marangoni
RUN-000295,220,9,acidic,0.589,150,1000,21.69,40,SR
RUN-000296,220,5,alkaline,1.07,150,800,22.47,20,Marangoni
RUN-000297,240,9,acidic,0.354,250,800,21.191,20,SR
RUN-000298,220,5,acidic,0.399,150,1000,21.743,20,SR
RUN-000299,200,9,acidic,0.422,0,0,21.365,40,Marangoni
RUN-000300,240,7,acidic,0.56,0,0,21.262,30,Marangoni
RUN-000301,240,7,acidic,0.729,0,0,21.705,20,Marangoni
RUN-000302,220,7,acidic,0.534,0,0,21.275,30,SR
RUN-000303,240,7,acidic,0.481,150,1000,21.437,30,SR
RUN-000304,200,5,acidic,0.508,250,1000,21.798,40,Marangoni
RUN-000305,200,7,alkaline,0.938,0,0,21.485,20,SR
RUN-000306,200,9,alkaline,1.023,150,800,21.7,20,Marangoni
RUN-000307,220,7,acidic,0.497,0,0,21.971,30,SR
RUN-000308,220,7,alkaline,1.058,250,800,21.697,40,Marangoni
RUN-000309,240,5,acidic,0.528,250,1000,22.027,40,Marangoni
RUN-000310,220,7,acidic,0.57,150,1000,21.303,40,Marangoni
RUN-000311,200,5,acidic,0.39,0,0,21.38,20,Marangoni
RUN-000312,220,9,alkaline,1.111,0,0,21.248,40,Marangoni
RUN-000313,220,5,alkaline,0.746,250,1000,21.081,20,SR
RUN-000314,240,5,acidic,0.442,250,1000,21.539,20,Marangoni
RUN-000315,220,5,acidic,0.661,0,0,22.02,20,Marangoni
RUN-000316,220,5,acidic,0.554,150,800,21.57,30,Marangoni
RUN-000317,200,5,alkaline,1.012,250,1000,21.931,40,SR
RUN-000318,240,9,acidic,0.393,150,1000,21.361,40,SR
RUN-000319,220,5,acidic,0.496,250,1000,21.56,40,Marangoni
RUN-000320,200,5,acidic,0.323,250,800,21.666,20,SR
RUN-000321,200,7,acidic,0.636,0,0,21.553,30,Marangoni
RUN-000322,200,7,acidic,0.547,150,1000,22.103,30,Marangoni
RUN-000323,200,9,acidic,0.363,0,0,21.154,40,Marangoni
RUN-000324,240,7,acidic,0.335,250,1000,22.018,40,Marangoni
RUN-000325,200,9,acidic,0.383,0,0,21.304,30,Marangoni
RUN-000326,240,5,acidic,0.548,0,0,21.439,40,SR
RUN-000327,200,5,alkaline,1.006,0,0,22.157,20,Marangoni
RUN-000328,220,9,acidic,0.614,250,800,21.916,40,Marangoni
RUN-000329,240,9,acidic,0.6,0,0,22.573,40,SR
RUN-000330,200,7,acidic,0.637,0,0,22.111,30,Marangoni
RUN-000331,200,7,acidic,0.437,150,800,22.367,20,Marangoni
RUN-000332,200,5,acidic,0.669,0,0,21.926,20,SR
RUN-000333,240,7,acidic,0.462,150,800,21.926,30,SR
RUN-000334,240,7,acidic,0.392,0,0,22.129,40,Marangoni
RUN-000335,240,5,alkaline,1.109,250,800,21.942,40,Marangoni
RUN-000336,200,5,acidic,0.401,150,800,21.752,40,SR
RUN-000337,220,7,alkaline,1.033,150,800,22.25,30,SR
RUN-000338,240,5,acidic,0.61,150,800,22.242,30,Marangoni
RUN-000339,220,9,alkaline,0.953,150,1000,22.187,30,SR
RUN-000340,220,5,acidic,0.535,0,0,22.058,20,SR
RUN-000341,220,5,alkaline,1.141,250,800,22.059,20,Marangoni
RUN-000342,200,9,acidic,0.54,250,1000,22.652,20,Marangoni
RUN-000343,240,9,acidic,0.555,0,0,22.344,40,SR
RUN-000344,240,5,alkaline,1.04,150,1000,22.098,40,SR
RUN-000345,200,7,acidic,0.593,0,0,21.814,20,Marangoni
RUN-000346,220,7,alkaline,1.245,0,0,22.234,30,SR
RUN-000347,220,5,acidic,0.593,250,800,22.569,40,Marangoni
RUN-000348,220,5,alkaline,1.044,0,0,22.171,20,Marangoni
RUN-000349,220,9,acidic,0.532,0,0,22.315,20,Marangoni
RUN-000350,200,5,acidic,0.603,0,0,21.91,30,Marangoni
RUN-000351,200,7,acidic,0.391,150,1000,22.139,20,Marangoni
RUN-000352,200,7,acidic,0.546,0,0,22.584,20,Marangoni
RUN-000353,220,5,acidic,0.411,150,800,21.958,30,SR
RUN-000354,200,5,acidic,0.491,150,1000,22.282,30,SR
RUN-000355,220,7,alkaline,1.19,150,1000,22.609,20,SR
RUN-000356,240,5,alkaline,1.001,250,1000,22.289,40,Marangoni
RUN-000357,200,9,alkaline,0.973,0,0,21.99,20,Marangoni
RUN-000358,240,7,alkaline,0.959,250,1000,22.693,30,SR
RUN-000359,220,9,acidic,0.716,250,1000,22.473,40,SR
RUN-000360,220,5,acidic,0.485,150,800,21.47,30,Marangoni
RUN-000361,240,5,acidic,0.649,250,800,21.295,40,SR
RUN-000362,200,9,acidic,0.48,150,800,21.307,40,SR
RUN-000363,220,5,acidic,0.5,150,1000,21.508,20,Marangoni
RUN-000364,200,7,alkaline,1.049,150,1000,21.757,40,SR
RUN-000365,240,7,acidic,0.543,250,1000,22.02,20,SR
RUN-000366,240,9,acidic,0.601,0,0,21.868,30,SR
RUN-000367,220,5,acidic,0.361,0,0,21.794,40,SR
RUN-000368,220,5,alkaline,0.863,0,0,21.53,20,Marangoni
RUN-000369,240,7,alkaline,1.012,0,0,21.767,20,Marangoni
RUN-000370,220,9,alkaline,1.05,150,800,21.095,30,SR
RUN-000371,240,5,acidic,0.438,0,0,21.836,40,Marangoni
RUN-000372,240,7,alkaline,0.943,150,800,21.775,20,Marangoni
RUN-000373,220,5,alkaline,0.913,0,0,21.758,30,SR
RUN-000374,220,5,alkaline,0.96,250,800,21.306,40,SR
RUN-000375,240,9,acidic,0.339,150,1000,21.84,20,Marangoni
RUN-000376,240,9,alkaline,0.927,0,0,21.279,40,SR
RUN-000377,240,9,alkaline,0.836,0,0,21.262,40,SR
RUN-000378,200,5,acidic,0.394,0,0,21.88,20,SR
RUN-000379,200,9,acidic,0.7,0,0,21.232,40,SR
RUN-000380,220,5,alkaline,0.948,150,800,21.248,20,Marangoni
RUN-000381,200,9,alkaline,0.969,150,800,21.854,30,SR
RUN-000382,240,9,acidic,0.471,150,1000,21.381,30,Marangoni
RUN-000383,240,9,acidic,0.555,0,0,21.569,20,Marangoni
RUN-000384,240,9,acidic,0.629,0,0,21.896,20,SR
RUN-000385,240,5,acidic,0.449,250,800,21.767,40,SR
RUN-000386,220,7,acidic,0.376,150,1000,21.464,40,SR
RUN-000387,240,7,acidic,0.468,150,800,21.79,30,Marangoni
RUN-000388,220,9,acidic,0.587,150,1000,21.351,40,SR
RUN-000389,240,5,acidic,0.564,0,0,22.114,40,Marangoni
RUN-000390,240,9,alkaline,0.795,150,1000,21.863,20,SR
RUN-000391,220,5,acidic,0.442,0,0,21.834,40,SR
RUN-000392,200,5,alkaline,1.204,150,800,21.625,20,SR
RUN-000393,220,5,alkaline,1.002,0,0,21.953,30,SR
RUN-000394,220,7,alkaline,0.853,0,0,21.748,30,Marangoni
RUN-000395,200,7,alkaline,1.252,150,800,21.746,20,SR
RUN-000396,220,7,acidic,0.636,250,800,22.157,40,Marangoni
RUN-000397,240,9,alkaline,0.969,250,1000,21.771,40,SR
RUN-000398,220,7,alkaline,1.193,150,1000,21.572,20,SR
RUN-000399,240,7,acidic,0.593,250,800,21.704,40,Marangoni
RUN-000400,240,7,alkaline,1.016,150,1000,22.361,30,Marangoni
RUN-000401,220,5,alkaline,0.948,250,800,21.83,40,Marangoni
RUN-000402,220,7,alkaline,1.056,0,0,22.529,30,Marangoni
