run_id,tool_id,layer_id,recipe_id,pad_age_bin,pattern_density_bin,slurry_lot,slurry_pH_bin
RUN-000029,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000030,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000031,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000032,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000033,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000034,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000035,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000036,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000037,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000038,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000039,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000040,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000041,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000042,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000043,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000044,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000045,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000046,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000047,CMP-01,M1,RCP-C,pad_new,low,LOT-S4330,acidic
RUN-000048,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000049,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000050,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000051,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000052,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000053,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000054,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000055,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000056,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000057,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000058,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000059,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000060,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000061,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000062,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000063,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000064,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000065,CMP-02,STI,RCP-A,pad_new,mid,LOT-S0942,alkaline
RUN-000066,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000067,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000068,CMP-02,STI,RCP-A,pad_new,mid,LOT-S0942,alkaline
RUN-000069,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000070,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000071,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000072,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000073,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000074,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000075,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000076,CMP-02,STI,RCP-A,pad_new,mid,LOT-S0942,alkaline
RUN-000077,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000078,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000079,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000080,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000081,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000082,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000083,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000084,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000085,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000086,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000087,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000088,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000089,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000090,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000091,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000092,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000093,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000094,CMP-02,STI,RCP-A,pad_new,mid,LOT-S0942,alkaline
RUN-000095,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000096,CMP-02,STI,RCP-A,pad_new,mid,LOT-S0942,alkaline
RUN-000097,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000098,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000099,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000100,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000101,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000102,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000103,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000104,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000105,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000106,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000107,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000108,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000109,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000110,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000111,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000112,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000113,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000114,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000115,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000116,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000117,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000118,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000119,CMP-02,STI,RCP-C,pad_new,mid,LOT-S0942,alkaline
RUN-000120,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000121,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000122,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000123,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000124,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000125,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000126,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000127,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000128,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000129,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000130,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000131,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000132,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000133,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000134,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000135,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000136,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000137,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000138,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000139,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000140,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000141,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000142,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000143,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000144,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000145,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000146,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000147,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000148,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000149,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000150,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000151,CMP-01,STI,RCP-B,pad_mid,mid,LOT-S4330,alkaline
RUN-000152,CMP-01,STI,RCP-B,pad_mid,mid,LOT-S4330,alkaline
RUN-000153,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000154,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000155,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000156,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000157,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000158,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000159,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000160,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000161,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000162,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000163,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000164,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000165,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000166,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000167,CMP-01,STI,RCP-B,pad_mid,mid,LOT-S4330,alkaline
RUN-000168,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000169,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000170,CMP-01,STI,RCP-B,pad_mid,mid,LOT-S4330,alkaline
RUN-000171,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000172,CMP-01,STI,RCP-B,pad_mid,mid,LOT-S4330,alkaline
RUN-000173,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000174,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000175,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000176,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000177,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000178,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000179,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000180,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000181,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000182,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000183,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000184,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000185,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000186,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000187,CMP-02,STI,RCP-A,pad_new,mid,LOT-S0942,alkaline
RUN-000188,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000189,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000190,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000191,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000192,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000193,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000194,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000195,CMP-02,STI,RCP-B,pad_new,mid,LOT-S0942,alkaline
RUN-000196,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000197,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000198,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000199,CMP-02,STI,RCP-A,pad_new,mid,LOT-S0942,alkaline
RUN-000200,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000201,CMP-02,M1,RCP-A,pad_new,mid,LOT-S0942,acidic
RUN-000202,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000203,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000204,CMP-02,M1,RCP-B,pad_new,mid,LOT-S0942,acidic
RUN-000205,CMP-02,M1,RCP-C,pad_new,mid,LOT-S0942,acidic
RUN-000206,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000207,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000208,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000209,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000210,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000211,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000212,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000213,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000214,CMP-02,STI,RCP-C,pad_mid,mid,LOT-S0942,alkaline
RUN-000215,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000216,CMP-02,STI,RCP-C,pad_mid,mid,LOT-S0942,alkaline
RUN-000217,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000218,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000219,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000220,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000221,CMP-02,STI,RCP-B,pad_mid,mid,LOT-S0942,alkaline
RUN-000222,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000223,CMP-02,STI,RCP-C,pad_mid,mid,LOT-S0942,alkaline
RUN-000224,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000225,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000226,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000227,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000228,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000229,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000230,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000231,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000232,CMP-02,STI,RCP-C,pad_mid,mid,LOT-S0942,alkaline
RUN-000233,CMP-02,STI,RCP-B,pad_mid,mid,LOT-S0942,alkaline
RUN-000234,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000235,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000236,CMP-02,STI,RCP-B,pad_mid,mid,LOT-S0942,alkaline
RUN-000237,CMP-02,STI,RCP-B,pad_mid,mid,LOT-S0942,alkaline
RUN-000238,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000239,CMP-02,STI,RCP-C,pad_mid,mid,LOT-S0942,alkaline
RUN-000240,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000241,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000242,CMP-01,STI,RCP-B,pad_mid,mid,LOT-S4330,alkaline
RUN-000243,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000244,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000245,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000246,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000247,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000248,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000249,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000250,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000251,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000252,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000253,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000254,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000255,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000256,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000257,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000258,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000259,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000260,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000261,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000262,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000263,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000264,CMP-01,STI,RCP-B,pad_mid,mid,LOT-S4330,alkaline
RUN-000265,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000266,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000267,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000268,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000269,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000270,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000271,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000272,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000273,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000274,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000275,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000276,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000277,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000278,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000279,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000280,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000281,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000282,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000283,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000284,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000285,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000286,CMP-01,STI,RCP-C,pad_mid,mid,LOT-S4330,alkaline
RUN-000287,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000288,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000289,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000290,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000291,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000292,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000293,CMP-01,STI,RCP-B,pad_mid,mid,LOT-S4330,alkaline
RUN-000294,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000295,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000296,CMP-01,STI,RCP-A,pad_mid,mid,LOT-S4330,alkaline
RUN-000297,CMP-01,M1,RCP-C,pad_mid,mid,LOT-S4330,acidic
RUN-000298,CMP-01,M1,RCP-A,pad_mid,mid,LOT-S4330,acidic
RUN-000299,CMP-01,M1,RCP-B,pad_mid,mid,LOT-S4330,acidic
RUN-000300,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000301,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000302,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000303,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000304,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000305,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000306,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000307,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000308,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000309,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000310,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000311,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000312,CMP-02,STI,RCP-A,pad_mid,mid,LOT-S0942,alkaline
RUN-000313,CMP-02,STI,RCP-B,pad_mid,mid,LOT-S0942,alkaline
RUN-000314,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000315,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000316,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000317,CMP-02,STI,RCP-B,pad_mid,mid,LOT-S0942,alkaline
RUN-000318,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000319,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
RUN-000320,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000321,CMP-02,M1,RCP-C,pad_mid,mid,LOT-S0942,acidic
RUN-000322,CMP-02,M1,RCP-B,pad_mid,mid,LOT-S0942,acidic
RUN-000323,CMP-02,M1,RCP-A,pad_mid,mid,LOT-S0942,acidic
