run_id,split_hint,fab_id,tool_id,recipe_id,product_id,layer_id,process_type,wafer_id,lot_id,slurry_lot,run_start_ts,run_end_ts,pad_type,conditioner_type,slurry_type,slurry_pH,particle_size_nm,oxidizer_pct,pad_age_wafers,disk_age_wafers,pre_thickness_nm,target_post_thk_nm,endpoint_time_s,actual_polish_time_s,overpolish_s,endpoint_class,target_mrr_nmps,mrr_pred_nmps,mrr_err_abs,mrr_err_pct,mrr_err_ewma,drift_flag_mrr,auto_retrain,model_ref_pad_factor,model_ref_lot_pH,last_retrain_ts,scaler_group_key,channel_stats_version
RUN-000026,train,H-FAB,CMP-01,RCP-A,P119,STI,STI_Oxide,W-RUN-000026,LOT-0701,LOT-S4330,2025-07-01T12:41:09,2025-07-01T12:42:27,IC1000,3M-Std,Oxide-alkaline,10.491,70.4,0.138,88,95,1037.7,800,60,78,18,over,7.2158,6.7211,0.4947,6.856,53.286,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000027,train,H-FAB,CMP-01,RCP-B,P102,STI,STI_Oxide,W-RUN-000027,LOT-0701,LOT-S4330,2025-07-01T12:49:27,2025-07-01T12:50:39,IC1000,3M-Std,Oxide-alkaline,10.497,61.1,0.22,89,96,1012.1,800,60,72,12,over,4.3363,4.0327,0.3037,7.003,44.029,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000028,train,H-FAB,CMP-01,RCP-A,P132,M1,Cu,W-RUN-000028,LOT-0701,LOT-S4330,2025-07-01T13:00:39,2025-07-01T13:01:46,IC1000,3M-Std,Cu-acidic,3.324,109.4,2.048,90,97,883.4,300,60,67,7,over,15.8579,3.0,12.8579,81.082,51.44,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000029,train,H-FAB,CMP-01,RCP-B,P133,STI,STI_Oxide,W-RUN-000029,LOT-0701,LOT-S4330,2025-07-01T13:10:46,2025-07-01T13:11:55,IC1000,3M-Std,Oxide-alkaline,10.146,66.9,0.269,91,98,1063.2,800,60,69,9,over,4.874,5.0408,0.1668,3.423,41.837,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000030,train,H-FAB,CMP-01,RCP-B,P131,STI,STI_Oxide,W-RUN-000030,LOT-0701,LOT-S4330,2025-07-01T13:22:55,2025-07-01T13:24:09,IC1000,3M-Std,Oxide-alkaline,10.411,76.8,0.247,92,99,1062.9,800,60,74,14,over,8.8043,8.4014,0.4029,4.576,34.384,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000031,train,H-FAB,CMP-01,RCP-A,P117,STI,STI_Oxide,W-RUN-000031,LOT-0701,LOT-S4330,2025-07-01T13:35:09,2025-07-01T13:36:28,IC1000,3M-Std,Oxide-alkaline,10.53,80.5,0.197,93,100,1063.9,800,60,79,19,over,5.8286,5.3769,0.4517,7.75,29.058,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000032,train,H-FAB,CMP-01,RCP-A,P102,M1,Cu,W-RUN-000032,LOT-0701,LOT-S4330,2025-07-01T13:48:28,2025-07-01T13:49:41,IC1000,3M-Std,Cu-acidic,3.623,128.3,2.176,94,101,958.3,300,60,73,13,over,15.223,3.0,12.223,80.293,39.305,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000033,train,H-FAB,CMP-01,RCP-C,P120,STI,STI_Oxide,W-RUN-000033,LOT-0701,LOT-S4330,2025-07-01T14:02:41,2025-07-01T14:03:53,IC1000,3M-Std,Oxide-alkaline,10.311,67.8,0.26,95,102,1065.4,800,60,72,12,over,5.1226,5.0408,0.0818,1.596,31.763,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000034,train,H-FAB,CMP-01,RCP-B,P120,M1,Cu,W-RUN-000034,LOT-0701,LOT-S4330,2025-07-01T14:10:53,2025-07-01T14:11:49,IC1000,3M-Std,Cu-acidic,3.655,120.5,2.226,96,103,958.9,300,60,56,-4,under,11.3615,3.0,8.3615,73.595,40.129,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000035,train,H-FAB,CMP-01,RCP-C,P109,M1,Cu,W-RUN-000035,LOT-0701,LOT-S4330,2025-07-01T14:19:49,2025-07-01T14:21:13,IC1000,3M-Std,Cu-acidic,3.102,118.0,2.048,97,104,946.0,300,66,84,18,over,9.7708,3.0,6.7708,69.296,45.963,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000036,train,H-FAB,CMP-01,RCP-A,P116,M1,Cu,W-RUN-000036,LOT-0701,LOT-S4330,2025-07-01T14:31:13,2025-07-01T14:32:18,IC1000,3M-Std,Cu-acidic,3.624,129.6,2.012,98,105,975.4,300,60,65,5,normal,11.4033,3.0,8.4033,73.692,51.509,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000037,train,H-FAB,CMP-01,RCP-C,P136,M1,Cu,W-RUN-000037,LOT-0701,LOT-S4330,2025-07-01T14:40:18,2025-07-01T14:41:11,IC1000,3M-Std,Cu-acidic,3.474,116.7,2.124,99,106,928.1,300,60,53,-7,under,12.4062,3.0,9.4062,75.819,56.371,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000038,train,H-FAB,CMP-01,RCP-A,P100,M1,Cu,W-RUN-000038,LOT-0701,LOT-S4330,2025-07-01T14:52:11,2025-07-01T14:53:29,IC1000,3M-Std,Cu-acidic,3.569,115.9,2.104,100,107,975.6,300,60,78,18,over,12.2467,3.0,9.2467,75.504,60.197,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000039,train,H-FAB,CMP-01,RCP-C,P109,M1,Cu,W-RUN-000039,LOT-0701,LOT-S4330,2025-07-01T15:01:29,2025-07-01T15:02:46,IC1000,3M-Std,Cu-acidic,3.588,129.6,2.167,101,108,975.5,300,60,77,17,over,15.2643,3.0,12.2643,80.346,64.227,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000040,train,H-FAB,CMP-01,RCP-C,P103,M1,Cu,W-RUN-000040,LOT-0701,LOT-S4330,2025-07-01T15:13:46,2025-07-01T15:14:57,IC1000,3M-Std,Cu-acidic,3.272,110.6,1.94,102,109,961.3,300,60,71,11,over,11.9335,3.0,8.9335,74.861,66.354,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000041,train,H-FAB,CMP-01,RCP-B,P148,STI,STI_Oxide,W-RUN-000041,LOT-0701,LOT-S4330,2025-07-01T15:25:57,2025-07-01T15:27:02,IC1000,3M-Std,Oxide-alkaline,10.459,65.7,0.321,103,110,1057.5,800,60,65,5,normal,4.2716,4.0327,0.2389,5.593,54.202,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000042,train,H-FAB,CMP-01,RCP-B,P147,M1,Cu,W-RUN-000042,LOT-0701,LOT-S4330,2025-07-01T15:37:02,2025-07-01T15:37:56,IC1000,3M-Std,Cu-acidic,3.529,120.2,1.623,104,111,936.0,300,60,54,-6,under,19.2161,3.0,16.2161,84.388,60.239,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000043,train,H-FAB,CMP-01,RCP-A,P146,M1,Cu,W-RUN-000043,LOT-0701,LOT-S4330,2025-07-01T15:48:56,2025-07-01T15:50:08,IC1000,3M-Std,Cu-acidic,3.471,109.8,2.23,105,112,912.9,300,65,72,7,over,9.2921,3.0,6.2921,67.714,61.734,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000044,train,H-FAB,CMP-01,RCP-C,P140,STI,STI_Oxide,W-RUN-000044,LOT-0701,LOT-S4330,2025-07-01T16:01:08,2025-07-01T16:02:40,IC1000,3M-Std,Oxide-alkaline,10.555,68.2,0.112,106,113,1087.2,800,87,92,5,normal,3.2896,3.0245,0.2651,8.059,50.999,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000045,train,H-FAB,CMP-01,RCP-B,P108,M1,Cu,W-RUN-000045,LOT-0701,LOT-S4330,2025-07-01T16:13:40,2025-07-01T16:15:01,IC1000,3M-Std,Cu-acidic,3.042,128.0,2.037,107,114,959.2,300,67,81,14,over,9.8165,3.0,6.8165,69.439,54.687,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000046,train,H-FAB,CMP-01,RCP-A,P129,M1,Cu,W-RUN-000046,LOT-0701,LOT-S4330,2025-07-01T16:24:01,2025-07-01T16:25:14,IC1000,3M-Std,Cu-acidic,3.368,118.4,1.575,108,115,969.7,300,60,73,13,over,12.5474,3.0,9.5474,76.091,58.968,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000047,train,H-FAB,CMP-01,RCP-C,P125,M1,Cu,W-RUN-000047,LOT-0701,LOT-S4330,2025-07-01T16:36:14,2025-07-01T16:38:04,IC1000,3M-Std,Cu-acidic,3.638,136.1,1.75,109,116,962.1,300,97,110,13,over,6.8069,3.0,3.8069,55.927,58.36,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000048,train,H-FAB,CMP-01,RCP-C,P128,M1,Cu,W-RUN-000048,LOT-0701,LOT-S4330,2025-07-01T16:46:04,2025-07-01T16:47:20,IC1000,3M-Std,Cu-acidic,3.434,120.5,2.033,110,117,928.3,300,60,76,16,over,12.4332,3.0,9.4332,75.871,61.862,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000049,train,H-FAB,CMP-01,RCP-A,P123,STI,STI_Oxide,W-RUN-000049,LOT-0701,LOT-S4330,2025-07-01T16:53:20,2025-07-01T16:54:32,IC1000,3M-Std,Oxide-alkaline,10.266,74.6,0.277,111,118,1059.6,800,60,72,12,over,6.706,6.7211,0.0151,0.225,49.535,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000050,train,H-FAB,CMP-01,RCP-B,P149,M1,Cu,W-RUN-000050,LOT-0701,LOT-S4330,2025-07-01T17:06:32,2025-07-01T17:07:49,IC1000,3M-Std,Cu-acidic,3.353,111.3,1.7,112,119,958.1,300,69,77,8,over,9.4185,3.0,6.4185,68.148,53.257,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000051,train,H-FAB,CMP-01,RCP-B,P131,STI,STI_Oxide,W-RUN-000051,LOT-0701,LOT-S4330,2025-07-01T17:13:49,2025-07-01T17:14:57,IC1000,3M-Std,Oxide-alkaline,10.484,68.4,0.162,113,120,1060.6,800,60,68,8,over,5.7195,5.3769,0.3426,5.989,43.804,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000052,train,H-FAB,CMP-01,RCP-A,P140,STI,STI_Oxide,W-RUN-000052,LOT-0701,LOT-S4330,2025-07-01T17:25:57,2025-07-01T17:27:13,IC1000,3M-Std,Oxide-alkaline,10.454,67.0,0.227,114,121,1062.3,800,60,76,16,over,7.0871,6.7211,0.3659,5.163,36.076,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000053,train,H-FAB,CMP-01,RCP-A,P132,M1,Cu,W-RUN-000053,LOT-0701,LOT-S4330,2025-07-01T17:35:13,2025-07-01T17:36:28,IC1000,3M-Std,Cu-acidic,3.606,128.1,2.24,115,122,899.0,300,60,75,15,over,11.3746,3.0,8.3746,73.625,43.586,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000054,train,H-FAB,CMP-01,RCP-C,P130,M1,Cu,W-RUN-000054,LOT-0701,LOT-S4330,2025-07-01T17:46:28,2025-07-01T17:48:01,IC1000,3M-Std,Cu-acidic,3.3,111.4,2.066,116,123,925.9,300,88,93,5,normal,7.1049,3.0,4.1049,57.775,46.423,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000055,train,H-FAB,CMP-01,RCP-B,P100,STI,STI_Oxide,W-RUN-000055,LOT-0701,LOT-S4330,2025-07-01T17:56:01,2025-07-01T17:57:00,IC1000,3M-Std,Oxide-alkaline,10.439,64.7,0.146,117,124,1032.5,800,60,59,-1,normal,5.6391,5.3769,0.2622,4.65,38.069,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000056,train,H-FAB,CMP-01,RCP-C,P111,M1,Cu,W-RUN-000056,LOT-0701,LOT-S4330,2025-07-01T18:06:00,2025-07-01T18:07:10,IC1000,3M-Std,Cu-acidic,3.528,116.3,2.131,118,125,999.6,300,60,70,10,over,12.2493,3.0,9.2493,75.509,45.557,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000057,train,H-FAB,CMP-01,RCP-C,P144,STI,STI_Oxide,W-RUN-000057,LOT-0701,LOT-S4330,2025-07-01T18:19:10,2025-07-01T18:20:29,IC1000,3M-Std,Oxide-alkaline,10.233,68.3,0.221,119,126,1079.9,800,60,79,19,over,8.2802,8.4014,0.1213,1.464,36.738,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000058,train,H-FAB,CMP-01,RCP-A,P117,M1,Cu,W-RUN-000058,LOT-0701,LOT-S4330,2025-07-01T18:31:29,2025-07-01T18:33:10,IC1000,3M-Std,Cu-acidic,3.636,127.5,2.069,120,127,934.9,300,93,101,8,over,6.7869,3.0,3.7869,55.797,40.55,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000059,train,H-FAB,CMP-01,RCP-C,P104,M1,Cu,W-RUN-000059,LOT-0701,LOT-S4330,2025-07-01T18:46:10,2025-07-01T18:47:35,IC1000,3M-Std,Cu-acidic,3.446,124.6,2.215,121,128,972.3,300,72,85,13,over,9.2792,3.0,6.2792,67.67,45.974,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000060,train,H-FAB,CMP-02,RCP-C,P109,STI,STI_Oxide,W-RUN-000060,LOT-0701,LOT-S0942,2025-07-01T08:00:00,2025-07-01T08:00:57,NexPlanar-XP,Kinik-3.5,Oxide-alkaline,10.627,85.4,0.272,64,48,1103.3,800,60,57,-3,normal,9.4379,3.0,6.4379,68.213,68.213,1,1,1.0408,10.627,2025-07-01T08:00:00,CMP-02|STI,v1
RUN-000061,train,H-FAB,CMP-02,RCP-C,P134,M1,Cu,W-RUN-000061,LOT-0701,LOT-S0942,2025-07-01T08:08:57,2025-07-01T08:10:11,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.889,137.1,1.768,65,49,934.6,300,60,74,14,over,11.0992,3.0,8.0992,72.971,69.165,1,0,1.0408,10.627,2025-07-01T08:00:00,CMP-02|M1,v1
RUN-000062,train,H-FAB,CMP-02,RCP-A,P118,M1,Cu,W-RUN-000062,LOT-0701,LOT-S0942,2025-07-01T08:17:11,2025-07-01T08:18:10,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.643,109.1,1.959,66,50,956.2,300,60,59,-1,normal,12.2437,3.0,9.2437,75.498,70.431,1,0,1.0408,10.627,2025-07-01T08:00:00,CMP-02|M1,v1
RUN-000063,train,H-FAB,CMP-02,RCP-C,P135,STI,STI_Oxide,W-RUN-000063,LOT-0701,LOT-S0942,2025-07-01T08:29:10,2025-07-01T08:30:16,NexPlanar-XP,Kinik-3.5,Oxide-alkaline,10.625,66.2,0.184,67,51,1063.7,800,60,66,6,over,5.6546,5.6627,0.0081,0.143,56.374,1,0,1.0408,10.627,2025-07-01T08:00:00,CMP-02|STI,v1
RUN-000064,train,H-FAB,CMP-02,RCP-B,P137,M1,Cu,W-RUN-000064,LOT-0701,LOT-S0942,2025-07-01T08:39:16,2025-07-01T08:40:59,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.836,124.5,1.631,68,52,953.3,300,97,103,6,over,6.7031,3.0,3.7031,55.245,56.148,1,0,1.0408,10.627,2025-07-01T08:00:00,CMP-02|M1,v1
RUN-000065,train,H-FAB,CMP-02,RCP-A,P141,STI,STI_Oxide,W-RUN-000065,LOT-0701,LOT-S0942,2025-07-01T08:55:59,2025-07-01T08:57:06,NexPlanar-XP,Kinik-3.5,Oxide-alkaline,10.301,72.2,0.153,69,53,1049.3,800,60,67,7,over,6.8622,7.5503,0.6881,10.027,46.924,1,0,1.0408,10.627,2025-07-01T08:00:00,CMP-02|STI,v1
RUN-000066,train,H-FAB,CMP-02,RCP-A,P137,M1,Cu,W-RUN-000066,LOT-0701,LOT-S0942,2025-07-01T09:08:06,2025-07-01T09:09:22,NexPlanar-XP,Kinik-3.5,Cu-acidic,3.557,140.7,2.049,70,54,946.7,300,60,76,16,over,12.3739,3.0,9.3739,75.755,52.69,1,0,1.0408,10.627,2025-07-01T08:00:00,CMP-02|M1,v1
